,Source,eType,Target,Time,Weight,SourceLocation
0,550287,0,512397,8408133,1.0,
1,550287,0,512397,8684963,1.0,
2,550287,0,512397,8890301,1.0,
3,550287,1,570672,262462,1.0,0.0
4,550287,1,557816,26442751,1.0,0.0
5,550287,0,647251,22912321,1.0,
6,550287,1,534042,10813441,1.0,0.0
7,512397,0,550287,8811852,1.0,
8,512397,0,550287,10409865,1.0,
9,512397,0,550287,12670289,1.0,
10,512397,0,550287,14384733,1.0,
11,512397,0,550287,15835592,1.0,
12,512397,0,550287,18060533,1.0,
13,512397,0,550287,20234879,1.0,
14,512397,1,570672,2358736,1.0,2.0
15,512397,0,557816,4523274,1.0,
16,512397,1,637482,30414630,1.0,2.0
17,512397,0,635665,5717144,1.0,
18,512397,0,635665,6064497,1.0,
19,512397,0,635665,7168878,1.0,
20,512397,0,635665,8272124,1.0,
21,570672,0,512397,10693231,1.0,
22,570672,0,512514,26409242,1.0,
23,570672,0,546613,18084152,1.0,
24,570672,1,510299,9948738,1.0,3.0
25,557816,0,550287,4895553,1.0,
26,557816,0,495748,4780896,1.0,
27,557816,0,558892,30862857,1.0,
28,637482,1,550287,23571408,1.0,0.0
29,637482,0,512397,15661834,1.0,
30,637482,1,543244,31288698,1.0,0.0
31,637482,1,543244,31285902,1.0,0.0
32,637482,1,601986,396708,1.0,0.0
33,637482,0,466421,17809226,1.0,
34,635665,0,550287,5626655,1.0,
35,635665,0,550287,6147265,1.0,
36,635665,0,512397,5288962,1.0,
37,635665,0,512397,6186726,1.0,
38,635665,0,512397,6571211,1.0,
39,635665,0,512397,7575721,1.0,
40,635665,0,512397,8102731,1.0,
41,480308,1,619831,17667432,1.0,4.0
42,547675,0,487178,5119470,1.0,
43,512514,0,575348,10904802,1.0,
44,517986,0,531614,15910563,1.0,
45,601986,0,548351,28176489,1.0,
46,466421,0,580710,16645962,1.0,
47,508149,1,534042,22952618,1.0,4.0
48,531614,0,497906,8580042,1.0,
49,531614,0,539902,18837729,1.0,
50,498877,1,518941,9766144,1.0,4.0
51,501007,0,513819,21083307,1.0,
52,535616,0,458436,6414719,1.0,
53,537927,1,480763,31196206,1.0,4.0
54,467492,1,635665,8040804,1.0,4.0
55,467492,1,498877,4237978,1.0,4.0
56,495748,1,466421,24803105,1.0,4.0
57,624650,1,637482,21608672,1.0,4.0
58,624650,1,546613,22208646,1.0,4.0
59,624650,0,480763,21799497,1.0,
60,575348,1,461710,27494354,1.0,3.0
61,510299,1,575348,19198487,1.0,3.0
62,513819,0,531614,8121643,1.0,
63,461710,0,501927,28272030,1.0,
64,461710,0,535616,8483775,1.0,
65,461710,1,537927,27046835,1.0,3.0
73,550287,2,657187,10250285,170.0,
74,512397,3,657187,10250285,170.0,
75,550287,2,657187,12459732,314.0,
76,512397,3,657187,12459732,314.0,
77,550287,2,657187,14490022,445.0,
78,512397,3,657187,14490022,445.0,
79,550287,2,657187,16267662,792.0,
80,512397,3,657187,16267662,792.0,
81,550287,2,657187,16758558,331.0,
82,512397,3,657187,16758558,331.0,
83,550287,2,657187,17614335,430.0,
84,512397,3,657187,17614335,430.0,
85,550287,2,657187,17671007,122.0,
86,512397,3,657187,17671007,122.0,
87,619831,5,640784,31536000,32.23,
88,619831,5,536346,31536000,484.26,
89,619831,5,520660,31536000,260.82,
90,552988,5,619831,31536000,8408.05,
91,619831,5,567195,31536000,842.52,
92,619831,5,527449,31536000,184.16,
93,619831,5,459381,31536000,104.51,
94,619831,5,595298,31536000,1898.16,
95,619831,5,466907,31536000,268.23,
96,619831,5,589943,31536000,685.55,
97,619831,5,523927,31536000,369.02,
98,619831,5,580426,31536000,246.53,
99,619831,5,595581,31536000,49.33,
100,619831,5,642329,31536000,344.07,
101,619831,5,503701,31536000,589.32,
102,619831,5,571970,31536000,25.0,
103,619831,5,644226,31536000,660.04,
104,619831,5,632961,31536000,320.86,
105,619831,5,473173,31536000,1310.64,
106,619831,5,620120,31536000,732.82,
107,508149,5,630626,31536000,1683.46,
108,510031,5,508149,31536000,172.89,
109,552988,5,508149,31536000,4995.43,
110,508149,5,567195,31536000,701.9,
111,508149,5,527449,31536000,93.34,
112,508149,5,459381,31536000,277.44,
113,508149,5,595298,31536000,974.84,
114,508149,5,466907,31536000,147.2,
115,508149,5,589943,31536000,508.62,
116,508149,5,577992,31536000,1176.28,
117,508149,5,537281,31536000,155.33,
118,508149,5,523927,31536000,208.05,
119,508149,5,580426,31536000,40.9,
120,508149,5,616315,31536000,397.13,
121,508149,5,503701,31536000,839.48,
122,508149,5,632961,31536000,120.8,
123,508149,5,473173,31536000,268.42,
124,508149,5,620120,31536000,287.38,
125,508149,5,575030,31536000,1868.39,
126,546613,5,640784,31536000,866.21,
127,546613,5,536346,31536000,778.04,
128,510031,5,546613,31536000,481.88,
129,546613,5,520660,31536000,647.87,
130,552988,5,546613,31536000,18348.1,
131,546613,5,567195,31536000,204.73,
132,546613,5,527449,31536000,140.14,
133,546613,5,459381,31536000,523.7,
134,546613,5,595298,31536000,945.47,
135,546613,5,466907,31536000,528.59,
136,546613,5,577992,31536000,670.72,
137,546613,5,537281,31536000,380.52,
138,546613,5,523927,31536000,871.41,
139,546613,5,580426,31536000,829.76,
140,546613,5,642329,31536000,159.38,
141,546613,5,503701,31536000,1086.02,
142,546613,5,644226,31536000,328.96,
143,546613,5,632961,31536000,121.45,
144,546613,5,473173,31536000,39.36,
145,546613,5,620120,31536000,1224.62,
146,546613,5,575030,31536000,1992.21,
147,546613,5,621924,31536000,948.42,
148,510299,5,536346,31536000,858.15,
149,510031,5,510299,31536000,708.14,
150,510299,5,520660,31536000,178.5,
151,552988,5,510299,31536000,22688.6,
152,510299,5,527449,31536000,92.95,
153,510299,5,459381,31536000,129.09,
154,510299,5,595298,31536000,2831.44,
155,510299,5,589943,31536000,2413.61,
156,510299,5,577992,31536000,530.86,
157,510299,5,537281,31536000,1024.27,
158,510299,5,523927,31536000,3841.08,
159,510299,5,580426,31536000,679.9,
160,510299,5,503701,31536000,696.99,
161,510299,5,571970,31536000,120.25,
162,510299,5,644226,31536000,1771.99,
163,510299,5,632961,31536000,328.79,
164,510299,5,473173,31536000,1219.04,
165,510299,5,620120,31536000,4929.41,
166,510299,5,621924,31536000,1266.65,
167,625905,5,536346,31536000,587.21,
168,510031,5,625905,31536000,520.08,
169,552988,5,625905,31536000,17798.2,
170,625905,5,567195,31536000,1051.45,
171,625905,5,527449,31536000,259.29,
172,625905,5,459381,31536000,361.72,
173,625905,5,595298,31536000,1325.0,
174,625905,5,466907,31536000,379.59,
175,625905,5,577992,31536000,778.41,
176,625905,5,537281,31536000,59.12,
177,625905,5,523927,31536000,1492.45,
178,625905,5,580426,31536000,30.03,
179,625905,5,595581,31536000,934.0,
180,625905,5,616315,31536000,363.42,
181,625905,5,642329,31536000,263.85,
182,625905,5,503701,31536000,502.32,
183,625905,5,571970,31536000,294.62,
184,625905,5,644226,31536000,812.99,
185,625905,5,632961,31536000,286.75,
186,625905,5,473173,31536000,229.7,
187,625905,5,620120,31536000,707.91,
188,625905,5,575030,31536000,831.58,
189,625905,5,621924,31536000,129.51,
190,557816,5,630626,31536000,2219.0,
191,510031,5,557816,31536000,5.59,
192,552988,5,557816,31536000,296.15,
193,557816,5,527449,31536000,19.97,
194,557816,5,459381,31536000,38.84,
195,557816,5,595298,31536000,816.92,
196,557816,5,466907,31536000,98.79,
197,557816,5,577992,31536000,424.38,
198,557816,5,537281,31536000,127.62,
199,557816,5,523927,31536000,556.47,
200,557816,5,616315,31536000,43.73,
201,557816,5,503701,31536000,333.3,
202,557816,5,571970,31536000,0.26,
203,557816,5,632961,31536000,29.76,
204,557816,5,473173,31536000,270.49,
205,557816,5,620120,31536000,248.66,
206,557816,5,575030,31536000,546.81,
207,647251,5,640784,31536000,289.92,
208,647251,5,536346,31536000,571.06,
209,647251,5,520660,31536000,843.49,
210,552988,5,647251,31536000,12913.8,
211,647251,5,527449,31536000,145.69,
212,647251,5,459381,31536000,213.6,
213,647251,5,595298,31536000,915.91,
214,647251,5,466907,31536000,458.96,
215,647251,5,589943,31536000,1417.47,
216,647251,5,577992,31536000,576.8,
217,647251,5,537281,31536000,107.0,
218,647251,5,523927,31536000,9.53,
219,647251,5,580426,31536000,0.57,
220,647251,5,595581,31536000,515.76,
221,647251,5,616315,31536000,502.8,
222,647251,5,642329,31536000,438.55,
223,647251,5,503701,31536000,728.01,
224,647251,5,571970,31536000,99.73,
225,647251,5,644226,31536000,295.98,
226,647251,5,632961,31536000,157.6,
227,647251,5,473173,31536000,287.83,
228,647251,5,620120,31536000,1205.56,
229,647251,5,575030,31536000,6774.73,
230,647251,5,621924,31536000,712.42,
231,531614,5,536346,31536000,732.12,
232,510031,5,531614,31536000,1313.52,
