,Source,eType,Target,Time,Weight,SourceLocation
144497,614761,4,514306,-209742644,0.1,
120362215,614761,5,630626,31536000,4471.64,
120362216,510031,5,614761,31536000,2505.35,
120362217,552988,5,614761,31536000,24662.9,
120362218,614761,5,527449,31536000,11.82,
120362219,614761,5,459381,31536000,663.33,
120362220,614761,5,595298,31536000,1026.74,
120362221,614761,5,466907,31536000,584.32,
120362222,614761,5,577992,31536000,847.85,
120362223,614761,5,537281,31536000,425.54,
120362224,614761,5,523927,31536000,3508.3,
120362225,614761,5,580426,31536000,17.14,
120362226,614761,5,616315,31536000,460.73,
120362227,614761,5,642329,31536000,532.11,
120362228,614761,5,503701,31536000,1698.46,
120362229,614761,5,632961,31536000,489.33,
120362230,614761,5,473173,31536000,2501.87,
120362231,614761,5,620120,31536000,2556.09,
120362232,614761,5,575030,31536000,5740.1,
120361834,510031,5,538892,31536000,612.53,
120361835,552988,5,538892,31536000,7866.03,
120361836,538892,5,567195,31536000,804.6,
120361837,538892,5,527449,31536000,66.56,
120361838,538892,5,459381,31536000,206.85,
120361839,538892,5,595298,31536000,2929.23,
120361840,538892,5,466907,31536000,411.67,
120361841,538892,5,589943,31536000,1336.5,
120361842,538892,5,577992,31536000,2087.94,
120361843,538892,5,537281,31536000,115.09,
120361844,538892,5,523927,31536000,318.53,
120361845,538892,5,580426,31536000,287.96,
120361846,538892,5,642329,31536000,1700.68,
120361847,538892,5,632961,31536000,232.76,
120361848,538892,5,473173,31536000,397.53,
120361849,620120,5,538892,31536000,1256.32,
120361850,538892,5,575030,31536000,2011.04,
120361851,538892,5,621924,31536000,7084.51,
122699969,538892,6,509607,18080806,5.0,2.0
122998623,538892,6,509607,18080806,5.0,2.0
122998669,538892,6,509607,20115547,1.0,2.0
123297603,538892,6,509607,18080806,5.0,2.0
123297649,538892,6,509607,20115547,1.0,2.0
123297681,538892,6,509607,28225674,3.0,2.0
123596281,538892,6,509607,18080806,5.0,2.0
123596327,538892,6,509607,20115547,1.0,2.0
123596359,538892,6,509607,28225674,3.0,2.0
123596398,538892,6,509607,20023756,6.0,2.0
