,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
0,538771,4,652563,-591868800,0.0909091,,,,,,
1,538771,4,477902,-258710400,0.1,,,,,,
2,538771,4,589499,-512899200,0.07142860000000001,,,,,,
3,538771,4,600158,-691574400,0.047619,,,,,,
4,538771,4,530130,-733737600,0.0625,,,,,,
5,538771,4,520589,-610272000,0.0909091,,,,,,
6,538771,4,549279,-638265600,0.0625,,,,,,
7,538771,4,498205,-669801600,0.0625,,,,,,
8,538771,4,551513,-701769600,0.0666667,,,,,,
9,538771,4,619226,-449740800,0.047619,,,,,,
10,538771,4,457185,-418204800,0.05,,,,,,
11,538771,4,531391,-384076800,0.05,,,,,,
12,538771,4,468528,-481795200,0.041666699999999994,,,,,,
13,538771,4,508586,-988963200,0.166667,,,,,,
14,538771,4,468104,-560332800,0.0909091,,,,,,
15,538771,4,581631,-544003200,0.0526316,,,,,,
16,538771,4,630210,-544003200,0.0526316,,,,,,
17,538771,4,532186,-544003200,0.0625,,,,,,
18,538771,4,619717,-638265600,0.0625,,,,,,
19,538771,4,523620,-512899200,0.0526316,,,,,,
20,538771,4,467921,-347270400,0.07142860000000001,,,,,,
21,538771,4,527009,-418204800,0.05,,,,,,
22,538771,4,582996,-575971200,0.0625,,,,,,
23,538771,4,525510,-638265600,0.0625,,,,,,
24,538771,4,596945,-765273600,0.08333330000000001,,,,,,
25,538771,4,531519,-831110400,0.125,,,,,,
26,538771,4,574425,-765360000,0.11111099999999999,,,,,,
27,538771,4,626137,-788947200,0.037037,,,,,,
28,538771,4,609834,-610099200,0.0666667,,,,,,
29,538771,4,548600,-497260800,0.07692310000000001,,,,,,
30,538771,4,636371,-610099200,0.0625,,,,,,
31,538771,4,626501,-418204800,0.05,,,,,,
32,538771,4,639332,-575971200,0.0625,,,,,,
33,538771,4,501439,-610099200,0.07692310000000001,,,,,,
34,538771,4,580394,-686563200,0.125,,,,,,
35,538771,4,589232,-670665600,0.11111099999999999,,,,,,
36,538771,4,602969,-273657600,0.08333330000000001,,,,,,
37,538771,4,592696,-465638400,0.14285699999999998,,,,,,
38,538771,4,526501,-669801600,0.0625,,,,,,
39,538771,4,641263,-733737600,0.07692310000000001,,,,,,
40,538771,4,568239,-575971200,0.0625,,,,,,
41,538771,4,473333,-686563200,0.14285699999999998,,,,,,
42,538771,4,556294,-610099200,0.0666667,,,,,,
43,538771,4,473043,-623491200,0.0909091,,,,,,
44,538771,4,532197,-560332800,0.11111099999999999,,,,,,
45,538771,4,565737,-542707200,0.1,,,,,,
46,538771,4,540328,-323424000,0.11111099999999999,,,,,,
47,538771,4,476766,-670665600,0.166667,,,,,,
48,566476,4,652563,-591868800,0.0909091,,,,,,
49,566476,4,600158,-691574400,0.047619,,,,,,
50,566476,4,530130,-733737600,0.0625,,,,,,
51,566476,4,520589,-610272000,0.0909091,,,,,,
52,566476,4,551513,-701769600,0.0666667,,,,,,
53,566476,4,532186,-544003200,0.0625,,,,,,
54,566476,4,525510,-638265600,0.0625,,,,,,
55,566476,4,596945,-765273600,0.08333330000000001,,,,,,
56,566476,4,574425,-765360000,0.11111099999999999,,,,,,
57,566476,4,609834,-610099200,0.0666667,,,,,,
58,566476,4,580394,-686563200,0.125,,,,,,
59,566476,4,589232,-670665600,0.11111099999999999,,,,,,
60,566476,4,641263,-733737600,0.07692310000000001,,,,,,
61,566476,4,473333,-686563200,0.14285699999999998,,,,,,
62,566476,4,473043,-623491200,0.0909091,,,,,,
63,566476,4,476766,-670665600,0.166667,,,,,,
64,566476,4,519476,-741772800,0.14285699999999998,,,,,,
65,491573,4,600158,-691574400,0.047619,,,,,,
66,491573,4,530130,-733737600,0.0625,,,,,,
67,491573,4,551513,-701769600,0.0666667,,,,,,
68,491573,4,508586,-988963200,0.166667,,,,,,
69,491573,4,548600,-497260800,0.07692310000000001,,,,,,
70,491573,4,626501,-418204800,0.05,,,,,,
71,491573,4,639332,-575971200,0.0625,,,,,,
72,491573,4,592696,-465638400,0.14285699999999998,,,,,,
73,491573,4,556294,-610099200,0.0666667,,,,,,
74,491573,4,473043,-623491200,0.0909091,,,,,,
