,Source,eType,Target,Time,Weight,SourceLocation
3595,559780,4,462146,-323424000,0.0625,
3596,618062,4,462146,-323424000,0.0625,
4335,618062,4,518313,-196848000,0.08333330000000001,
4551,618062,4,467921,-347270400,0.07142860000000001,
4711,618062,4,488848,-228038400,0.05,
4729,618062,4,519936,-228038400,0.0909091,
4740,618062,4,614131,-228038400,0.125,
4748,618062,4,492492,-196848000,0.08333330000000001,
3597,465946,4,462146,-323424000,0.0625,
3667,465946,4,653816,-242121600,0.0625,
3679,465946,4,521370,-400752000,0.055555600000000004,
3827,465946,4,600158,-691574400,0.047619,
3849,465946,4,495860,-679478400,0.08333330000000001,
3860,465946,4,530130,-733737600,0.0625,
4015,465946,4,549279,-638265600,0.0625,
4031,465946,4,498205,-669801600,0.0625,
4047,465946,4,551513,-701769600,0.0666667,
4237,465946,4,619226,-449740800,0.047619,
4257,465946,4,457185,-418204800,0.05,
4294,465946,4,531391,-384076800,0.05,
4299,465946,4,468528,-481795200,0.041666699999999994,
4336,465946,4,518313,-196848000,0.08333330000000001,
4378,465946,4,564636,-831110400,0.1,
4433,465946,4,581631,-544003200,0.0526316,
4489,465946,4,630210,-544003200,0.0526316,
4519,465946,4,619717,-638265600,0.0625,
4557,465946,4,467921,-347270400,0.07142860000000001,
4566,465946,4,527009,-418204800,0.05,
4590,465946,4,582996,-575971200,0.0625,
4606,465946,4,525510,-638265600,0.0625,
4624,465946,4,565132,-638265600,0.0625,
4641,465946,4,596945,-765273600,0.08333330000000001,
4712,465946,4,488848,-228038400,0.05,
4730,465946,4,519936,-228038400,0.0909091,
4741,465946,4,614131,-228038400,0.125,
4749,465946,4,492492,-196848000,0.08333330000000001,
4803,465946,4,636371,-610099200,0.0625,
4818,465946,4,626501,-418204800,0.05,
4854,465946,4,501439,-610099200,0.07692310000000001,
4915,465946,4,526501,-669801600,0.0625,
4938,465946,4,641263,-733737600,0.07692310000000001,
4959,465946,4,568239,-575971200,0.0625,
4981,465946,4,556294,-610099200,0.0666667,
3584,518868,4,487174,-257328000,0.11111099999999999,
3598,518868,4,462146,-323424000,0.0625,
4338,518868,4,518313,-196848000,0.08333330000000001,
4702,518868,4,610421,-288864000,0.14285699999999998,
4750,518868,4,492492,-196848000,0.08333330000000001,
83322,518868,4,620007,-584784000,0.0333333,
3585,512098,4,487174,-257328000,0.11111099999999999,
3599,512098,4,462146,-323424000,0.0625,
4718,512098,4,488848,-228038400,0.05,
4731,512098,4,519936,-228038400,0.0909091,
4746,512098,4,614131,-228038400,0.125,
4751,512098,4,492492,-196848000,0.08333330000000001,
46039,512098,4,557700,-384076800,0.125,
46047,512098,4,539755,-323424000,0.125,
3600,636424,4,462146,-323424000,0.0625,
3662,636424,4,653816,-242121600,0.0625,
3690,636424,4,521370,-400752000,0.055555600000000004,
3832,636424,4,600158,-691574400,0.047619,
3851,636424,4,495860,-679478400,0.08333330000000001,
3862,636424,4,530130,-733737600,0.0625,
4026,636424,4,549279,-638265600,0.0625,
4037,636424,4,498205,-669801600,0.0625,
4055,636424,4,551513,-701769600,0.0666667,
4256,636424,4,619226,-449740800,0.047619,
4268,636424,4,457185,-418204800,0.05,
4296,636424,4,531391,-384076800,0.05,
4302,636424,4,468528,-481795200,0.041666699999999994,
4405,636424,4,468104,-560332800,0.0909091,
4446,636424,4,581631,-544003200,0.0526316,
4498,636424,4,532186,-544003200,0.0625,
4513,636424,4,619717,-638265600,0.0625,
4544,636424,4,523620,-512899200,0.0526316,
4553,636424,4,467921,-347270400,0.07142860000000001,
4584,636424,4,527009,-418204800,0.05,
4587,636424,4,582996,-575971200,0.0625,
4602,636424,4,525510,-638265600,0.0625,
4618,636424,4,565132,-638265600,0.0625,
4643,636424,4,596945,-765273600,0.08333330000000001,
4676,636424,4,626137,-788947200,0.037037,
4777,636424,4,609834,-610099200,0.0666667,
4793,636424,4,548600,-497260800,0.07692310000000001,
4806,636424,4,636371,-610099200,0.0625,
4824,636424,4,626501,-418204800,0.05,
4840,636424,4,639332,-575971200,0.0625,
4857,636424,4,501439,-610099200,0.07692310000000001,
4916,636424,4,526501,-669801600,0.0625,
4939,636424,4,641263,-733737600,0.07692310000000001,
4963,636424,4,568239,-575971200,0.0625,
4984,636424,4,556294,-610099200,0.0666667,
6863,636424,4,476766,-670665600,0.166667,
42118,636424,4,469066,-915177600,0.011904799999999998,
3579,652020,4,487174,-257328000,0.11111099999999999,
3594,652020,4,580519,-883641600,0.14285699999999998,
3601,652020,4,462146,-323424000,0.0625,
3613,652020,4,522961,-211363200,0.166667,
3618,652020,4,575130,-70185600,0.125,
3626,652020,4,652563,-591868800,0.0909091,
3639,652020,4,644362,-852105600,0.2,
3642,652020,4,526751,-166176000,0.08333330000000001,
3658,652020,4,615468,-149155200,0.14285699999999998,
3669,652020,4,653816,-242121600,0.0625,
3692,652020,4,521370,-400752000,0.055555600000000004,
3695,652020,4,477902,-258710400,0.1,
3705,652020,4,538908,-291974400,0.0909091,
3716,652020,4,473555,-410256000,0.2,
3721,652020,4,589352,-379670400,0.2,
3725,652020,4,652574,-269251200,0.166667,
3736,652020,4,581358,-384076800,0.14285699999999998,
3739,652020,4,620991,-227174400,0.0909091,
3754,652020,4,579053,-24739200,0.14285699999999998,
3762,652020,4,545635,-149155200,0.14285699999999998,
3769,652020,4,601581,-23356800,0.125,
3774,652020,4,505131,-242985600,0.11111099999999999,
3787,652020,4,589499,-512899200,0.07142860000000001,
3794,652020,4,484126,-510307200,0.11111099999999999,
3811,652020,4,568017,-725875200,0.1,
3815,652020,4,603399,-54460800,0.166667,
3824,652020,4,568985,-29404800,0.14285699999999998,
3846,652020,4,600158,-691574400,0.047619,
3857,652020,4,495860,-679478400,0.08333330000000001,
3863,652020,4,530130,-733737600,0.0625,
3882,652020,4,493228,-592300800,0.125,
3890,652020,4,473297,-591868800,0.125,
3897,652020,4,611716,-591868800,0.14285699999999998,
3898,652020,4,541249,-619948800,0.2,
3908,652020,4,520589,-610272000,0.0909091,
3914,652020,4,591177,-619948800,0.2,
3919,652020,4,574520,-619948800,0.2,
3930,652020,4,504528,-418636800,0.14285699999999998,
3931,652020,4,485405,-400752000,0.166667,
3937,652020,4,478622,-405072000,0.166667,
3949,652020,4,557099,-405072000,0.14285699999999998,
3951,652020,4,494754,-428745600,0.333333,
3954,652020,4,459738,-172396800,0.166667,
3962,652020,4,610141,-274521600,0.14285699999999998,
3967,652020,4,614404,-259574400,0.07692310000000001,
3986,652020,4,531824,-272793600,0.1,
3990,652020,4,609664,-259574400,0.1,
4000,652020,4,463961,-283161600,0.1,
4009,652020,4,484863,-291974400,0.166667,
4017,652020,4,549279,-638265600,0.0625,
4032,652020,4,498205,-669801600,0.0625,
4050,652020,4,551513,-701769600,0.0666667,
4068,652020,4,599032,-23356800,0.125,
4070,652020,4,561764,-68889600,0.2,
4075,652020,4,614860,-51004800,0.166667,
4081,652020,4,557234,-78998400,0.5,
4084,652020,4,634185,-311155200,0.08333330000000001,
4095,652020,4,459301,-288864000,0.166667,
4102,652020,4,564761,-242985600,0.125,
4115,652020,4,543069,-528710400,0.125,
4119,652020,4,461186,-306057600,0.166667,
4125,652020,4,622667,-306057600,0.166667,
4132,652020,4,627227,-274521600,0.1,
4141,652020,4,657153,-252489600,0.333333,
4148,652020,4,457670,-337593600,0.1,
4154,652020,4,634535,-115891200,0.333333,
4155,652020,4,640011,-355132800,0.0909091,
4168,652020,4,649426,-228902400,0.333333,
4171,652020,4,624459,-239443200,0.333333,
4174,652020,4,618039,-326102400,0.333333,
4176,652020,4,573846,-355132800,0.0909091,
4192,652020,4,578498,-337593600,0.1,
4196,652020,4,594514,-355564800,0.11111099999999999,
4211,652020,4,533853,-337593600,0.1,
4217,652020,4,604914,-257760000,0.333333,
4219,652020,4,648198,-323424000,0.11111099999999999,
4228,652020,4,583503,-323424000,0.11111099999999999,
4254,652020,4,619226,-449740800,0.047619,
4276,652020,4,457185,-418204800,0.05,
4293,652020,4,531391,-384076800,0.05,
4320,652020,4,468528,-481795200,0.041666699999999994,
4322,652020,4,508586,-988963200,0.166667,
4333,652020,4,545817,-694252800,0.125,
4337,652020,4,518313,-196848000,0.08333330000000001,
4353,652020,4,480605,-510307200,0.125,
4360,652020,4,591795,-476006400,0.14285699999999998,
4367,652020,4,532404,-465638400,0.14285699999999998,
4374,652020,4,517272,-476006400,0.14285699999999998,
4383,652020,4,564636,-831110400,0.1,
4392,652020,4,609496,-337593600,0.11111099999999999,
