,Unnamed: 0,Source,eType,Target,Time,Weight,SourceLocation
0,0,574136,1,546631,18318465,1.0,4.0
1,1,574136,0,578302,18215874,1.0,
2,2,574136,0,508047,29912819,1.0,
3,3,574136,0,513854,28004575,1.0,
4,4,574136,0,476051,17728018,1.0,
5,5,574136,1,602415,26548616,1.0,4.0
6,6,574136,1,513818,14370168,1.0,4.0
7,7,574136,1,632071,25057721,1.0,4.0
8,8,574136,1,632676,25578265,1.0,4.0
9,9,574136,1,580873,1125766,1.0,4.0
10,10,574136,1,627357,8899223,1.0,4.0
11,11,574136,0,578978,19874913,1.0,
12,12,574136,0,551521,3892350,1.0,
13,13,574136,1,628357,24478259,1.0,4.0
14,14,574136,0,517607,703715,1.0,
15,15,574136,1,499938,2508735,1.0,4.0
16,16,574136,1,532543,18627045,1.0,4.0
17,17,574136,0,648724,7786555,1.0,
18,18,574136,1,630758,20838060,1.0,4.0
19,19,574136,1,640651,25868913,1.0,4.0
20,20,574136,1,640651,25861997,1.0,4.0
21,21,574136,1,590909,5237602,1.0,4.0
22,22,574136,1,645478,11868481,1.0,4.0
23,23,574136,1,574574,24296770,1.0,4.0
24,24,574136,0,569693,14536661,1.0,
25,25,574136,1,623295,1657803,1.0,4.0
26,26,574136,0,518033,19311508,1.0,
27,27,574136,1,491003,18066074,1.0,4.0
28,28,574136,1,521580,10213716,1.0,4.0
29,29,574136,1,521580,19640545,1.0,4.0
30,30,574136,1,615735,11320958,1.0,4.0
31,31,574136,1,554701,2376481,1.0,4.0
32,32,574136,1,624608,11244527,1.0,4.0
33,33,574136,1,474506,14028523,1.0,4.0
34,34,574136,1,474506,24816194,1.0,4.0
35,35,574136,1,518238,13582135,1.0,4.0
36,36,574136,0,483880,22999752,1.0,
37,37,574136,1,574683,21543153,1.0,4.0
38,38,574136,1,577715,5716100,1.0,4.0
39,39,574136,0,543132,2781204,1.0,
40,40,574136,1,529752,19991950,1.0,4.0
41,41,574136,1,529752,19985675,1.0,4.0
42,42,574136,0,568085,23717306,1.0,
43,43,574136,1,459109,7713785,1.0,4.0
44,44,574136,1,611786,7005627,1.0,4.0
45,45,574136,0,504522,11926169,1.0,
46,46,574136,1,543451,11503452,1.0,4.0
47,47,574136,1,497954,8775984,1.0,4.0
48,48,574136,0,483019,29474694,1.0,
49,49,574136,1,633599,19738831,1.0,4.0
50,50,574136,1,620791,1991785,1.0,4.0
51,51,574136,1,620791,24131341,1.0,4.0
52,52,574136,1,552765,6742286,1.0,4.0
53,53,574136,1,552765,6684009,1.0,4.0
54,54,574136,1,623468,22839875,1.0,4.0
55,55,546631,0,574136,13076651,1.0,
56,56,546631,0,578978,3645004,1.0,
57,57,546631,1,517607,1694056,1.0,0.0
58,58,546631,0,532543,26364259,1.0,
59,59,546631,1,623295,31341601,1.0,0.0
60,60,546631,0,497954,28958828,1.0,
61,61,546631,1,620791,1228132,1.0,0.0
62,62,546631,1,623468,8618300,1.0,0.0
63,63,546631,1,560172,29900407,1.0,0.0
64,64,578302,0,574136,25868913,1.0,
65,65,578302,1,513818,27849365,1.0,2.0
66,66,578302,1,521580,26131867,1.0,2.0
67,67,578302,1,624608,21983048,1.0,2.0
68,68,578302,1,497954,18669044,1.0,2.0
69,69,578302,1,633599,8156447,1.0,2.0
70,70,508047,1,574136,29421647,1.0,2.0
71,71,508047,1,574136,29363591,1.0,2.0
72,72,508047,0,551521,4692972,1.0,
73,73,508047,0,551521,28185866,1.0,
74,74,508047,0,552765,28080057,1.0,
75,75,508047,1,623468,18771846,1.0,2.0
76,76,513854,0,574136,874238,1.0,
77,77,513854,1,632071,15381779,1.0,3.0
78,78,513854,1,648724,25089612,1.0,3.0
79,79,513854,1,640651,13140031,1.0,3.0
80,80,513854,1,640651,19802030,1.0,3.0
81,81,513854,1,590909,9183379,1.0,3.0
82,82,513854,0,521580,16777105,1.0,
83,83,513854,0,624608,27994256,1.0,
84,84,513854,1,474506,11234926,1.0,3.0
85,85,513854,0,568085,15575779,1.0,
86,86,513854,1,623468,18005744,1.0,3.0
87,87,513854,0,611692,8071682,1.0,
88,88,513854,1,543597,30855652,1.0,3.0
89,89,476051,1,574136,20915523,1.0,4.0
