,Source,eType,Target,Time,Weight,SourceLocation
341874,557387,0,574136,29934736,1.0,
341875,574136,0,539941,29934736,1.0,
378499,635193,1,574136,9210880,1.0,3.0
378501,574136,3,617468,9210880,2.0,
457164,621729,1,574136,17573550,1.0,4.0
499288,630745,0,574136,30248414,1.0,
499289,574136,0,491705,30248414,1.0,
511229,639882,0,574136,812170,1.0,
511231,574136,3,492039,812170,1.0,
511232,574136,1,509037,812170,1.0,4.0
511233,574136,2,593195,812170,2358.0,
609396,569091,0,574136,4514441,1.0,
609397,574136,0,586275,4514441,1.0,
609398,574136,2,593195,4514441,971.0,
640433,527660,1,574136,29578338,1.0,4.0
640434,574136,0,571414,29578338,1.0,
650438,553602,1,574136,18318465,1.0,2.0
650439,574136,1,546631,18318465,1.0,4.0
650440,574136,2,593195,18318465,671.0,
733023,493968,1,574136,20673643,1.0,0.0
736072,585500,0,574136,18215874,1.0,
736073,574136,0,578302,18215874,1.0,
740976,466507,0,574136,13870972,1.0,
740977,574136,1,543729,13870972,1.0,4.0
795633,582549,1,574136,19101990,1.0,1.0
853121,459521,1,574136,27313843,1.0,0.0
853123,574136,3,645667,27313843,488.0,
853124,574136,1,512138,27313843,1.0,4.0
943190,608186,0,574136,1233022,1.0,
943191,574136,1,521492,1233022,1.0,4.0
988146,485076,0,574136,10805639,1.0,
988148,574136,3,469675,10805639,4.0,
988149,574136,1,601944,10805639,1.0,4.0
1008570,558025,1,574136,30190170,1.0,4.0
1008571,481849,1,574136,30190170,1.0,3.0
1027306,516098,1,574136,2511021,1.0,2.0
1027307,574136,1,576568,2511021,1.0,4.0
1041673,581835,1,574136,785534,1.0,1.0
1041675,574136,3,483999,785534,98.0,
1177010,466503,1,574136,24862946,1.0,1.0
1177011,574136,1,614091,24862946,1.0,4.0
1177012,574136,2,593195,24862946,1167.0,
1269005,548767,0,574136,14695842,1.0,
1269006,574136,0,489270,14695842,1.0,
1269007,574136,2,593195,14695842,294.0,
1278816,491943,1,574136,5012296,1.0,0.0
1278817,574136,1,626212,5012296,1.0,4.0
1278818,574136,2,593195,5012296,307.0,
1287326,492885,0,574136,10886400,1.0,
1287327,574136,1,493221,10886400,1.0,4.0
1347221,504776,1,574136,7259295,1.0,3.0
1347223,574136,3,531490,7259295,1.0,
1396518,575280,0,574136,15571214,1.0,
1396519,574136,0,599435,15571214,1.0,
1418184,574136,1,516536,7279022,1.0,4.0
1452838,546631,0,574136,13076651,1.0,
1452839,574136,1,522415,13076651,1.0,4.0
1482161,587996,0,574136,30093615,1.0,
1482162,574136,0,648128,30093615,1.0,
1526131,574136,1,607488,19360132,1.0,4.0
1526132,574136,2,593195,19360132,1018.0,
1555988,542757,0,574136,8737259,1.0,
1555989,574136,1,510624,8737259,1.0,4.0
1630153,490544,1,574136,19117974,1.0,0.0
1680936,629384,0,574136,29744411,1.0,
1680937,574136,1,475662,29744411,1.0,4.0
1703373,611840,0,574136,20692525,1.0,
1703375,574136,3,548607,20692525,41.0,
1703376,574136,0,524570,20692525,1.0,
1720839,549882,0,574136,12398093,1.0,
1720840,574136,0,608775,12398093,1.0,
1727843,652735,1,574136,30291706,1.0,3.0
1727845,574136,3,583695,30291706,13.0,
1795783,579305,1,574136,9808604,1.0,0.0
1795784,574136,1,489194,9808604,1.0,4.0
1821510,616775,1,574136,24897013,1.0,2.0
1835375,468355,1,574136,1664165,1.0,5.0
1909575,584453,0,574136,8295499,1.0,
1909576,574136,0,537455,8295499,1.0,
1956606,622720,1,574136,1773646,1.0,0.0
1985015,657007,0,574136,7520632,1.0,
1985016,574136,1,560548,7520632,1.0,4.0
1985017,574136,2,593195,7520632,317.0,
2180685,469993,0,574136,12882423,1.0,
2180686,574136,0,587622,12882423,1.0,
2202480,508308,1,574136,16692022,1.0,0.0
2202482,574136,3,475970,16692022,367.0,
2355523,572345,0,574136,12216731,1.0,
2355524,574136,0,600532,12216731,1.0,
2355525,574136,2,593195,12216731,403.0,
2413705,615860,0,574136,2806002,1.0,
2413707,574136,3,641131,2806002,207.0,
2413708,574136,1,501687,2806002,1.0,4.0
2699441,648343,1,574136,12474039,1.0,0.0
2699442,574136,1,490101,12474039,1.0,4.0
2968366,508047,1,574136,29421647,1.0,2.0
2968391,506742,1,574136,29912819,1.0,3.0
2968392,574136,0,508047,29912819,1.0,
2973002,531290,0,574136,14692692,1.0,
2973003,574136,0,505841,14692692,1.0,
2987744,518063,1,574136,9945315,1.0,4.0
2987745,574136,0,613431,9945315,1.0,
2987746,574136,2,593195,9945315,199.0,
3015925,654316,0,574136,3543497,1.0,
3015927,574136,3,551425,3543497,590.0,
3015928,574136,0,527533,3543497,1.0,
3159094,506620,0,574136,3807611,1.0,
3168585,535703,1,574136,10899616,1.0,1.0
3168587,574136,3,536851,10899616,146.0,
3168588,574136,1,465528,10899616,1.0,4.0
3177127,518684,1,574136,21604146,1.0,4.0
3177128,574136,0,520131,21604146,1.0,
3264739,593340,0,574136,23415035,1.0,
3264740,574136,1,476876,23415035,1.0,4.0
3340235,470271,1,574136,14729317,1.0,3.0
3340236,574136,0,545997,14729317,1.0,
3359906,530108,0,574136,6839895,1.0,
3359907,574136,1,573798,6839895,1.0,4.0
3381078,513991,1,574136,24666214,1.0,4.0
3413078,613427,1,574136,12468658,1.0,3.0
3421652,601999,1,574136,11635946,1.0,3.0
3421653,467449,1,574136,11635946,1.0,2.0
3423301,500337,1,574136,3728194,1.0,2.0
3423302,574136,1,594957,3728194,1.0,4.0
3637583,566538,1,574136,16025392,1.0,0.0
3637584,574136,0,571553,16025392,1.0,
3727818,543306,1,574136,14869083,1.0,5.0
3727820,574136,3,471142,14869083,56.0,
3727821,574136,1,641920,14869083,1.0,4.0
3761268,485204,1,574136,20540652,1.0,2.0
3761269,574136,1,550940,20540652,1.0,4.0
3766392,619713,0,574136,25148749,1.0,
3766393,574136,1,561417,25148749,1.0,4.0
3831015,574136,0,513854,28004575,1.0,
3838864,487889,1,574136,2111919,1.0,0.0
3847660,642776,1,574136,15530586,1.0,4.0
3847661,574136,1,622651,15530586,1.0,4.0
3869878,542356,1,574136,16618535,1.0,0.0
3869879,574136,1,561366,16618535,1.0,4.0
3881589,497602,1,574136,2350459,1.0,3.0
3881590,574136,1,516841,2350459,1.0,4.0
3897436,525034,1,574136,15828537,1.0,4.0
3897437,574136,1,463794,15828537,1.0,4.0
4076840,612928,1,574136,25335385,1.0,2.0
4076841,574136,1,457058,25335385,1.0,4.0
4076842,574136,2,516389,25335385,346.0,
4090359,569415,0,574136,26411330,1.0,
4114486,642243,0,574136,2506499,1.0,
4114487,574136,1,623026,2506499,1.0,4.0
4349563,531222,1,574136,15066047,1.0,1.0
4349565,574136,3,606218,15066047,191.0,
4469997,600653,1,574136,28689153,1.0,4.0
4469998,574136,1,636721,28689153,1.0,4.0
4494456,552657,0,574136,14696645,1.0,
4494458,574136,3,552748,14696645,2475.0,
4494459,574136,1,496460,14696645,1.0,4.0
4494460,574136,2,593195,14696645,2.0,
4558113,536600,0,574136,7291921,1.0,
4580718,536600,0,574136,30330912,1.0,
4596604,609563,0,574136,13936334,1.0,
4596605,574136,0,493695,13936334,1.0,
4624095,490658,1,574136,21094222,1.0,0.0
4624096,574136,1,578401,21094222,1.0,4.0
4624097,574136,2,593195,21094222,595.0,
4783658,562175,1,574136,22833159,1.0,5.0
4853861,547529,1,574136,22243484,1.0,5.0
4875944,633463,0,574136,22756240,1.0,
4875946,574136,3,552748,22756240,49.0,
4875947,574136,1,518065,22756240,1.0,4.0
4943831,564907,0,574136,4068016,1.0,
4943832,574136,1,557368,4068016,1.0,4.0
4999594,486926,1,574136,25354120,1.0,5.0
5023642,653992,1,574136,13861765,1.0,2.0
5023644,574136,3,585273,13861765,177.0,
5062691,572070,0,574136,7393039,1.0,
5062692,574136,1,565800,7393039,1.0,4.0
5062693,574136,2,593195,7393039,2333.0,
5139346,587407,1,574136,20252446,1.0,4.0
5139347,574136,0,506422,20252446,1.0,
5139348,574136,2,516389,20252446,15.0,
5314033,493469,1,574136,11258694,1.0,0.0
5314034,574136,1,525053,11258694,1.0,4.0
5364101,585412,1,574136,6753939,1.0,5.0
5364103,574136,3,569215,6753939,206.0,
5410031,511642,0,574136,25935619,1.0,
5410032,574136,1,473713,25935619,1.0,4.0
5427541,539800,0,574136,6176935,1.0,
5427542,574136,1,535740,6176935,1.0,4.0
5427543,574136,2,516389,6176935,840.0,
5482518,469862,0,574136,5112056,1.0,
5482519,574136,1,570441,5112056,1.0,4.0
5595068,501571,1,574136,19359869,1.0,0.0
5817011,458807,1,574136,8662334,1.0,4.0
5818629,458807,1,574136,25249887,1.0,4.0
5818630,574136,1,539228,25249887,1.0,4.0
5854265,557587,0,574136,10035769,1.0,
5854266,574136,1,500520,10035769,1.0,4.0
5901514,525557,1,574136,23848589,1.0,4.0
5915483,529740,0,574136,26707685,1.0,
5915484,574136,1,599920,26707685,1.0,4.0
6195846,511580,0,574136,6102095,1.0,
6195868,511580,0,574136,7095625,1.0,
6195870,574136,3,606218,7095625,3.0,
6195871,574136,0,488629,7095625,1.0,
6529243,597038,1,574136,25843010,1.0,1.0
6529245,574136,3,628923,25843010,1.0,
6628037,636044,0,574136,16620482,1.0,
