,Source,eType,Target,Time,Weight,SourceLocation
9,600971,1,564804,26560681,1.0,0.0
10,600971,0,626174,8391058,1.0,
14,600971,1,470784,21610929,1.0,0.0
15,600971,1,554368,12358995,1.0,0.0
16,600971,1,554368,5817846,1.0,0.0
17,600971,1,554368,12627610,1.0,0.0
19,600971,1,638591,18749952,1.0,0.0
20,600971,0,477333,6341410,1.0,
27,600971,0,533691,18163469,1.0,
30,600971,0,558444,20407205,1.0,
32,600971,1,490882,7454939,1.0,0.0
37,600971,1,594696,11681154,1.0,0.0
38,600971,1,462691,29507696,1.0,0.0
39,600971,0,631159,4950767,1.0,
41,600971,0,605385,13855995,1.0,
43,600971,1,506539,14342764,1.0,0.0
44,600971,0,564784,15060171,1.0,
47,600971,1,466429,22336326,1.0,0.0
49,600971,1,532462,28436049,1.0,0.0
50,600971,0,583737,30594852,1.0,
79,564804,1,600971,22053433,1.0,1.0
80,564804,1,600971,22060372,1.0,1.0
82,564804,1,554368,13754425,1.0,1.0
83,564804,1,554368,13912452,1.0,1.0
85,564804,0,631159,12096922,1.0,
86,564804,1,583737,31158776,1.0,1.0
87,626174,1,600971,24546297,1.0,5.0
88,626174,0,554368,1226894,1.0,
89,626174,0,554368,21434447,1.0,
90,626174,1,554368,26326050,1.0,5.0
91,626174,0,554368,19475292,1.0,
92,626174,0,638591,11256514,1.0,
93,626174,1,533691,28446845,1.0,5.0
94,626174,1,533691,28225872,1.0,5.0
95,626174,0,462691,29496054,1.0,
96,626174,0,631159,21605492,1.0,
97,626174,1,506539,15534024,1.0,5.0
98,626174,0,583737,16676667,1.0,
109,470784,1,600971,23011210,1.0,0.0
110,470784,1,554368,7812765,1.0,0.0
111,470784,0,554368,8832968,1.0,
112,470784,0,554368,15274489,1.0,
113,470784,1,554368,16244361,1.0,0.0
114,470784,0,554368,24151714,1.0,
115,470784,0,462691,3812111,1.0,
116,470784,0,506539,5445843,1.0,
121,554368,1,600971,13654133,1.0,4.0
122,554368,1,600971,16763298,1.0,4.0
127,554368,0,564804,19819806,1.0,
128,554368,1,564804,1668259,1.0,4.0
129,554368,1,564804,13404243,1.0,4.0
130,554368,0,626174,22677363,1.0,
131,554368,1,626174,24815977,1.0,4.0
132,554368,0,626174,25008646,1.0,
135,554368,1,470784,3039621,1.0,4.0
166,554368,1,638591,1759813,1.0,4.0
167,554368,1,638591,8667403,1.0,4.0
168,554368,1,638591,13374050,1.0,4.0
169,554368,1,638591,28089127,1.0,4.0
170,554368,0,638591,30437309,1.0,
171,554368,0,477333,1497198,1.0,
174,554368,0,533691,20307809,1.0,
175,554368,0,533691,322808,1.0,
176,554368,1,533691,18304962,1.0,4.0
177,554368,0,533691,6095717,1.0,
178,554368,1,533691,14039667,1.0,4.0
179,554368,1,533691,18391505,1.0,4.0
181,554368,1,558444,13524890,1.0,4.0
182,554368,1,558444,3303678,1.0,4.0
183,554368,0,558444,23694748,1.0,
187,554368,1,594696,5443200,1.0,4.0
188,554368,1,594696,6349222,1.0,4.0
189,554368,1,462691,13683622,1.0,4.0
190,554368,0,462691,3289528,1.0,
191,554368,1,462691,5284222,1.0,4.0
192,554368,0,462691,24727575,1.0,
193,554368,1,462691,11109639,1.0,4.0
194,554368,1,462691,354856,1.0,4.0
195,554368,1,462691,13942426,1.0,4.0
196,554368,0,462691,15688124,1.0,
197,554368,1,462691,13750526,1.0,4.0
198,554368,0,631159,21271210,1.0,
199,554368,0,631159,23348928,1.0,
202,554368,0,506539,11674571,1.0,
203,554368,1,506539,9351049,1.0,4.0
204,554368,0,506539,2789786,1.0,
205,554368,0,564784,23002737,1.0,
206,554368,0,564784,19618581,1.0,
207,554368,1,564784,21612456,1.0,4.0
208,554368,0,564784,10133909,1.0,
210,554368,1,466429,19146271,1.0,4.0
211,554368,1,466429,20052031,1.0,4.0
212,554368,1,466429,30194670,1.0,4.0
213,554368,1,466429,20079594,1.0,4.0
216,554368,0,583737,6225032,1.0,
217,554368,1,583737,14518347,1.0,4.0
218,554368,0,583737,16170064,1.0,
224,638591,1,600971,6956116,1.0,0.0
232,638591,0,564804,22910867,1.0,
233,638591,0,564804,31120388,1.0,
235,638591,0,470784,22815581,1.0,
236,638591,0,554368,2447805,1.0,
237,638591,0,554368,2700030,1.0,
238,638591,0,554368,4409050,1.0,
239,638591,1,554368,5463723,1.0,0.0
240,638591,0,554368,5624115,1.0,
241,638591,0,554368,6250527,1.0,
242,638591,1,554368,6410880,1.0,0.0
243,638591,0,554368,9294314,1.0,
244,638591,1,554368,10395318,1.0,0.0
245,638591,1,554368,11103691,1.0,0.0
246,638591,0,554368,11970917,1.0,
247,638591,1,554368,14952903,1.0,0.0
248,638591,0,554368,17122333,1.0,
249,638591,1,554368,21555412,1.0,0.0
250,638591,0,554368,23160776,1.0,
251,638591,0,554368,24089782,1.0,
252,638591,1,554368,26450895,1.0,0.0
253,638591,1,554368,26850250,1.0,0.0
256,638591,0,533691,16529714,1.0,
257,638591,0,533691,17977925,1.0,
258,638591,0,533691,27801740,1.0,
259,638591,1,533691,10284903,1.0,0.0
260,638591,1,558444,31134437,1.0,0.0
262,638591,1,462691,8308848,1.0,0.0
263,638591,0,462691,9690101,1.0,
264,638591,0,462691,14466659,1.0,
265,638591,1,462691,20575252,1.0,0.0
266,638591,0,462691,21713460,1.0,
267,638591,1,462691,27835651,1.0,0.0
268,638591,1,631159,23012818,1.0,0.0
269,638591,1,631159,23474424,1.0,0.0
270,638591,1,631159,30587929,1.0,0.0
271,638591,0,631159,23257212,1.0,
272,638591,0,605385,1478210,1.0,
273,638591,1,605385,12289350,1.0,0.0
274,638591,0,605385,22430658,1.0,
277,638591,0,506539,13491611,1.0,
278,638591,1,564784,5389585,1.0,0.0
279,638591,0,564784,23267529,1.0,
280,638591,1,564784,5356861,1.0,0.0
