,Source,eType,Target,Time,Weight,SourceLocation
0,644830,0,585212,23330170,1.0,
1,644830,0,585212,4940501,1.0,
2,644830,0,585212,6015112,1.0,
3,644830,0,585212,6821216,1.0,
4,644830,0,585212,11489905,1.0,
5,644830,0,462278,16678480,1.0,
6,644830,1,551022,22557172,1.0,0.0
7,644830,1,545018,25145691,1.0,0.0
8,644830,1,494254,21539129,1.0,0.0
9,644830,0,570191,3297745,1.0,
10,644830,1,572992,16277804,1.0,0.0
11,644830,0,614387,5887089,1.0,
12,644830,0,469276,21265523,1.0,
13,644830,1,468900,18938769,1.0,0.0
14,644830,1,468900,18959508,1.0,0.0
15,644830,1,488673,9161189,1.0,0.0
16,644830,1,554368,8604057,1.0,0.0
17,644830,0,554368,11458591,1.0,
18,644830,0,516863,20995225,1.0,
19,644830,0,488928,4992132,1.0,
20,644830,0,488928,5932656,1.0,
21,644830,0,488928,7096778,1.0,
22,644830,0,488928,7243181,1.0,
23,644830,0,488928,8127107,1.0,
24,644830,0,488928,9286158,1.0,
25,644830,0,488928,10363238,1.0,
26,644830,0,488928,10857107,1.0,
27,644830,0,488928,10963849,1.0,
28,644830,0,488928,10976634,1.0,
29,585212,0,644830,5573577,1.0,
30,585212,0,644830,5870257,1.0,
31,585212,0,644830,6733654,1.0,
32,585212,0,644830,7489945,1.0,
33,585212,0,644830,8441674,1.0,
34,585212,0,644830,8855927,1.0,
35,585212,0,644830,9240893,1.0,
36,585212,0,644830,10304971,1.0,
37,585212,0,644830,12572672,1.0,
38,585212,0,644830,14709092,1.0,
39,585212,0,644830,15791166,1.0,
40,585212,0,644830,16266273,1.0,
41,585212,0,644830,18661695,1.0,
42,585212,0,644830,18662380,1.0,
43,585212,0,509362,18682225,1.0,
44,585212,0,462278,10201737,1.0,
45,585212,1,551022,30430086,1.0,4.0
46,585212,1,545018,20932822,1.0,4.0
47,585212,1,494254,17719975,1.0,4.0
48,585212,1,581145,29982332,1.0,4.0
49,585212,1,614387,21433487,1.0,4.0
50,585212,1,469276,11439536,1.0,4.0
51,585212,1,518460,4069931,1.0,4.0
52,585212,0,462691,2096328,1.0,
53,585212,0,462691,13133913,1.0,
54,585212,0,462691,19530013,1.0,
55,585212,0,462691,21094626,1.0,
56,585212,0,462691,27132144,1.0,
57,585212,0,567506,7189456,1.0,
58,585212,1,590206,7047652,1.0,4.0
59,585212,1,494412,28347841,1.0,4.0
60,585212,1,554368,1325065,1.0,4.0
61,585212,0,554368,2678414,1.0,
62,585212,1,554368,8940515,1.0,4.0
63,585212,0,554368,16709657,1.0,
64,585212,1,478080,15072025,1.0,4.0
65,585212,0,594292,22435975,1.0,
66,585212,0,516863,22293037,1.0,
67,585212,0,516863,25156694,1.0,
68,585212,0,478093,22581398,1.0,
69,585212,0,488928,5876469,1.0,
70,585212,0,488928,6226591,1.0,
71,585212,0,488928,6272425,1.0,
72,585212,0,488928,6941544,1.0,
73,585212,0,488928,7808131,1.0,
74,585212,0,461129,26666324,1.0,
75,585212,1,534034,8142014,1.0,4.0
76,585212,1,534034,8850337,1.0,4.0
77,509362,1,644830,24286329,1.0,4.0
78,509362,0,585212,22127278,1.0,
79,509362,1,545018,16341915,1.0,4.0
80,509362,0,570191,3036234,1.0,
81,509362,0,554368,1645820,1.0,
82,509362,1,558922,20154773,1.0,4.0
83,509362,1,509364,24722669,1.0,4.0
84,462278,1,644830,22401046,1.0,5.0
85,462278,1,585212,30102337,1.0,5.0
86,462278,0,509362,3332228,1.0,
87,462278,0,462278,9447286,1.0,
88,462278,0,462278,21430573,1.0,
89,462278,1,462278,1166030,1.0,5.0
90,462278,0,494254,14518337,1.0,
91,462278,1,494254,23589602,1.0,5.0
92,462278,1,570191,3823024,1.0,5.0
93,462278,0,570191,22827561,1.0,
94,462278,1,572992,26008118,1.0,5.0
95,462278,0,572992,27017016,1.0,
96,462278,0,614387,1927023,1.0,
97,462278,1,614387,12544564,1.0,5.0
98,462278,1,614387,12587828,1.0,5.0
99,462278,1,469276,11665322,1.0,5.0
100,462278,1,462691,13680854,1.0,5.0
101,462278,1,462691,26639730,1.0,5.0
102,462278,0,462691,18350393,1.0,
103,462278,0,462691,18666617,1.0,
104,462278,1,590206,3483414,1.0,5.0
105,462278,1,590206,9601713,1.0,5.0
106,462278,0,488673,7006005,1.0,
107,462278,1,488673,7664775,1.0,5.0
108,462278,0,488673,15554457,1.0,
109,462278,1,554368,100932,1.0,5.0
110,462278,1,554368,7532666,1.0,5.0
111,462278,1,554368,28132058,1.0,5.0
112,462278,1,554368,9504380,1.0,5.0
113,462278,0,554368,28258537,1.0,
114,462278,0,554368,24208380,1.0,
115,462278,0,478080,14831087,1.0,
116,462278,1,594292,3932480,1.0,5.0
117,462278,1,516863,14873818,1.0,5.0
118,462278,1,516863,11838252,1.0,5.0
119,462278,0,478093,19451755,1.0,
120,462278,1,574889,2346857,1.0,5.0
121,462278,1,477422,17237933,1.0,5.0
122,462278,0,468754,29217745,1.0,
123,462278,0,468754,4161067,1.0,
