,Source,eType,Target,Time,Weight,SourceLocation
0,550287,0,512397,8408133,1.0,
1,550287,0,512397,8684963,1.0,
2,550287,0,512397,8890301,1.0,
3,550287,1,570672,262462,1.0,0.0
4,550287,1,557816,26442751,1.0,0.0
5,550287,0,647251,22912321,1.0,
6,550287,1,534042,10813441,1.0,0.0
7,512397,0,550287,8811852,1.0,
8,512397,0,550287,10409865,1.0,
9,512397,0,550287,12670289,1.0,
10,512397,0,550287,14384733,1.0,
11,512397,0,550287,15835592,1.0,
12,512397,0,550287,18060533,1.0,
13,512397,0,550287,20234879,1.0,
14,512397,1,570672,2358736,1.0,2.0
15,512397,0,557816,4523274,1.0,
16,512397,1,637482,30414630,1.0,2.0
17,512397,0,635665,5717144,1.0,
18,512397,0,635665,6064497,1.0,
19,512397,0,635665,7168878,1.0,
20,512397,0,635665,8272124,1.0,
21,570672,0,512397,10693231,1.0,
22,570672,0,512514,26409242,1.0,
23,570672,0,546613,18084152,1.0,
24,570672,1,510299,9948738,1.0,3.0
25,557816,0,550287,4895553,1.0,
26,557816,0,495748,4780896,1.0,
27,557816,0,558892,30862857,1.0,
28,637482,1,550287,23571408,1.0,0.0
29,637482,0,512397,15661834,1.0,
30,637482,1,543244,31288698,1.0,0.0
31,637482,1,543244,31285902,1.0,0.0
32,637482,1,601986,396708,1.0,0.0
33,637482,0,466421,17809226,1.0,
34,635665,0,550287,5626655,1.0,
35,635665,0,550287,6147265,1.0,
36,635665,0,512397,5288962,1.0,
37,635665,0,512397,6186726,1.0,
38,635665,0,512397,6571211,1.0,
39,635665,0,512397,7575721,1.0,
40,635665,0,512397,8102731,1.0,
41,480308,1,619831,17667432,1.0,4.0
42,547675,0,487178,5119470,1.0,
43,512514,0,575348,10904802,1.0,
44,517986,0,531614,15910563,1.0,
45,601986,0,548351,28176489,1.0,
46,466421,0,580710,16645962,1.0,
47,508149,1,534042,22952618,1.0,4.0
48,531614,0,497906,8580042,1.0,
49,531614,0,539902,18837729,1.0,
50,498877,1,518941,9766144,1.0,4.0
51,501007,0,513819,21083307,1.0,
52,535616,0,458436,6414719,1.0,
53,537927,1,480763,31196206,1.0,4.0
54,467492,1,635665,8040804,1.0,4.0
55,467492,1,498877,4237978,1.0,4.0
56,495748,1,466421,24803105,1.0,4.0
57,624650,1,637482,21608672,1.0,4.0
58,624650,1,546613,22208646,1.0,4.0
59,624650,0,480763,21799497,1.0,
60,575348,1,461710,27494354,1.0,3.0
61,510299,1,575348,19198487,1.0,3.0
62,513819,0,531614,8121643,1.0,
63,461710,0,501927,28272030,1.0,
64,461710,0,535616,8483775,1.0,
65,461710,1,537927,27046835,1.0,3.0
0,579278,6,625756,13132800,8.0,5.0
1,575711,6,625756,13132800,1.0,5.0
2,539258,6,625756,13132800,2.0,5.0
3,555847,6,625756,13132800,1.0,5.0
4,625905,6,625756,13132800,0.0,5.0
5,495366,6,625756,13132800,1.0,5.0
6,592770,6,625756,13132800,4.0,5.0
122700187,550287,2,657187,10250285,170.0,
122700188,512397,3,657187,10250285,170.0,
122700189,550287,2,657187,12459732,314.0,
122700190,512397,3,657187,12459732,314.0,
122700191,550287,2,657187,14490022,445.0,
122700192,512397,3,657187,14490022,445.0,
122700193,550287,2,657187,16267662,792.0,
122700194,512397,3,657187,16267662,792.0,
122700195,550287,2,657187,16758558,331.0,
122700196,512397,3,657187,16758558,331.0,
122700197,550287,2,657187,17614335,430.0,
122700198,512397,3,657187,17614335,430.0,
122700199,550287,2,657187,17671007,122.0,
122700200,512397,3,657187,17671007,122.0,
121666782,550287,5,536346,31536000,140.98,
121666783,510031,5,550287,31536000,203.51,
121666784,550287,5,520660,31536000,697.12,
121666785,552988,5,550287,31536000,13504.0,
121666786,550287,5,567195,31536000,3540.46,
121666787,550287,5,527449,31536000,99.16,
121666788,550287,5,459381,31536000,636.75,
121666789,550287,5,595298,31536000,2012.29,
121666790,550287,5,466907,31536000,702.45,
121666791,550287,5,589943,31536000,2048.22,
121666792,550287,5,577992,31536000,1389.69,
121666793,550287,5,523927,31536000,1242.15,
121666794,550287,5,580426,31536000,632.63,
121666795,550287,5,595581,31536000,2340.34,
121666796,550287,5,616315,31536000,2268.93,
121666797,550287,5,503701,31536000,1717.86,
121666798,550287,5,571970,31536000,125.54,
121666799,550287,5,644226,31536000,100.74,
121666800,550287,5,632961,31536000,53.97,
121666801,550287,5,473173,31536000,2281.87,
121666802,620120,5,550287,31536000,110.1,
121666803,550287,5,575030,31536000,4192.68,
121666804,550287,5,621924,31536000,1350.09,
120360369,512397,5,640784,31536000,1119.13,
120360370,512397,5,630626,31536000,6106.78,
120360371,512397,5,536346,31536000,881.23,
120360372,512397,5,520660,31536000,4200.84,
120360373,552988,5,512397,31536000,32518.9,
120360374,512397,5,567195,31536000,4880.51,
120360375,512397,5,527449,31536000,343.32,
120360376,512397,5,459381,31536000,993.54,
120360377,512397,5,595298,31536000,2840.81,
120360378,512397,5,466907,31536000,711.5,
120360379,512397,5,606730,31536000,1254.79,
120360380,512397,5,577992,31536000,739.49,
120360381,512397,5,537281,31536000,732.21,
120360382,512397,5,523927,31536000,3252.44,
120360383,512397,5,595581,31536000,6308.05,
120360384,512397,5,616315,31536000,321.43,
120360385,512397,5,642329,31536000,1180.66,
120360386,512397,5,571970,31536000,22.79,
120360387,512397,5,644226,31536000,1984.33,
120360388,512397,5,632961,31536000,913.17,
120360389,512397,5,473173,31536000,4962.24,
120360390,512397,5,620120,31536000,4388.86,
120360391,512397,5,575030,31536000,11068.6,
120360392,512397,5,621924,31536000,2487.82,
120757435,570672,5,630626,31536000,2950.02,
120757436,552988,5,570672,31536000,4974.73,
120757437,570672,5,567195,31536000,2.7,
120757438,570672,5,527449,31536000,217.91,
120757439,570672,5,459381,31536000,232.62,
120757440,570672,5,595298,31536000,1190.42,
120757441,570672,5,466907,31536000,70.2,
120757442,570672,5,537281,31536000,322.83,
120757443,570672,5,523927,31536000,60.74,
120757444,570672,5,616315,31536000,1776.58,
120757445,570672,5,642329,31536000,764.02,
120757446,570672,5,503701,31536000,1821.02,
120757447,570672,5,571970,31536000,25.63,
120757448,570672,5,632961,31536000,153.55,
120757449,570672,5,473173,31536000,834.47,
120757450,570672,5,620120,31536000,2850.69,
120757451,570672,5,575030,31536000,4422.13,
121483463,557816,5,630626,31536000,2219.0,
121483464,510031,5,557816,31536000,5.59,
121483465,552988,5,557816,31536000,296.15,
121483466,557816,5,527449,31536000,19.97,
121483467,557816,5,459381,31536000,38.84,
121483468,557816,5,595298,31536000,816.92,
121483469,557816,5,466907,31536000,98.79,
121483470,557816,5,577992,31536000,424.38,
121483471,557816,5,537281,31536000,127.62,
121483472,557816,5,523927,31536000,556.47,
121483473,557816,5,616315,31536000,43.73,
121483474,557816,5,503701,31536000,333.3,
121483475,557816,5,571970,31536000,0.26,
121483476,557816,5,632961,31536000,29.76,
121483477,557816,5,473173,31536000,270.49,
121483478,557816,5,620120,31536000,248.66,
121483479,557816,5,575030,31536000,546.81,
121508906,637482,5,640784,31536000,969.78,
121508907,637482,5,536346,31536000,1937.02,
121508908,510031,5,637482,31536000,215.53,
121508909,637482,5,520660,31536000,3188.7,
121508910,552988,5,637482,31536000,13200.2,
121508911,637482,5,567195,31536000,2880.37,
121508912,637482,5,527449,31536000,209.64,
121508913,637482,5,459381,31536000,1825.07,
121508914,637482,5,595298,31536000,3165.74,
121508915,637482,5,466907,31536000,522.49,
121508916,637482,5,606730,31536000,994.62,
121508917,637482,5,577992,31536000,7449.02,
121508918,637482,5,523927,31536000,334.39,
121508919,637482,5,580426,31536000,2310.33,
121508920,637482,5,595581,31536000,454.78,
121508921,637482,5,616315,31536000,1412.44,
121508922,637482,5,642329,31536000,2730.85,
121508923,637482,5,503701,31536000,3881.7,
121508924,637482,5,571970,31536000,772.91,
121508925,637482,5,644226,31536000,1491.64,
121508926,637482,5,632961,31536000,884.11,
121508927,637482,5,473173,31536000,1001.02,
121508928,620120,5,637482,31536000,296.75,
121508929,637482,5,575030,31536000,7926.66,
120360155,635665,5,640784,31536000,197.19,
120360156,510031,5,635665,31536000,1388.78,
120360157,552988,5,635665,31536000,30019.9,
120360158,635665,5,567195,31536000,2739.08,
120360159,635665,5,527449,31536000,39.34,
120360160,635665,5,459381,31536000,1448.59,
120360161,635665,5,595298,31536000,4378.48,
120360162,635665,5,577992,31536000,3826.62,
120360163,635665,5,537281,31536000,377.01,
120360164,635665,5,580426,31536000,698.17,
120360165,635665,5,642329,31536000,1576.24,
120360166,635665,5,503701,31536000,5382.42,
120360167,635665,5,632961,31536000,896.83,
120360168,635665,5,473173,31536000,4052.61,
120360169,635665,5,620120,31536000,5472.26,
120360170,635665,5,575030,31536000,34041.9,
120360171,635665,5,621924,31536000,461.46,
