,Source,eType,Target,Time,Weight,SourceLocation
122700187,550287,2,657187,10250285,170.0,
122700188,512397,3,657187,10250285,170.0,
122700189,550287,2,657187,12459732,314.0,
122700190,512397,3,657187,12459732,314.0,
122700191,550287,2,657187,14490022,445.0,
122700192,512397,3,657187,14490022,445.0,
122700193,550287,2,657187,16267662,792.0,
122700194,512397,3,657187,16267662,792.0,
122700195,550287,2,657187,16758558,331.0,
122700196,512397,3,657187,16758558,331.0,
122700197,550287,2,657187,17614335,430.0,
122700198,512397,3,657187,17614335,430.0,
122700199,550287,2,657187,17671007,122.0,
122700200,512397,3,657187,17671007,122.0,
