,Source,eType,Target,Time,Weight,SourceLocation
121711154,597450,5,640784,31536000,49.22,
121711155,597450,5,503218,31536000,102.47,
121711156,597450,5,630626,31536000,2241.7,
121711157,510031,5,597450,31536000,60.17,
121711158,552988,5,597450,31536000,1773.97,
121711159,597450,5,527449,31536000,147.08,
121711160,597450,5,459381,31536000,199.59,
121711161,597450,5,595298,31536000,301.88,
121711162,597450,5,466907,31536000,142.86,
121711163,597450,5,589943,31536000,660.7,
121711164,597450,5,595581,31536000,19.38,
121711165,597450,5,642329,31536000,566.73,
121711166,597450,5,503701,31536000,278.63,
121711167,597450,5,571970,31536000,7.24,
121711168,597450,5,632961,31536000,112.71,
121711169,597450,5,473173,31536000,182.77,
121711170,597450,5,620120,31536000,71.88,
122416594,597450,6,509607,27734400,-1.0,3.0
122416595,597450,6,499467,2937600,7.0,4.0
122416596,597450,6,616453,19785600,2.0,4.0
122416597,597450,6,625756,17452800,4.0,4.0
122416598,597450,6,509607,23587200,-1.0,3.0
122416599,597450,6,509607,12960000,-1.0,1.0
122416600,597450,6,616453,29635200,3.0,4.0
122715248,597450,6,509607,27734400,-1.0,3.0
122715249,597450,6,499467,2937600,7.0,4.0
122715250,597450,6,616453,19785600,2.0,4.0
122715251,597450,6,625756,17452800,4.0,4.0
122715252,597450,6,509607,23587200,-1.0,3.0
122715253,597450,6,509607,12960000,-1.0,1.0
122715254,597450,6,616453,29635200,3.0,4.0
123014228,597450,6,509607,27734400,-1.0,3.0
123014229,597450,6,499467,2937600,7.0,4.0
123014230,597450,6,616453,19785600,2.0,4.0
123014231,597450,6,625756,17452800,4.0,4.0
123014232,597450,6,509607,23587200,-1.0,3.0
123014233,597450,6,509607,12960000,-1.0,1.0
123014234,597450,6,616453,29635200,3.0,4.0
123312906,597450,6,509607,27734400,-1.0,3.0
123312907,597450,6,499467,2937600,7.0,4.0
123312908,597450,6,616453,19785600,2.0,4.0
123312909,597450,6,625756,17452800,4.0,4.0
123312910,597450,6,509607,23587200,-1.0,3.0
123312911,597450,6,509607,12960000,-1.0,1.0
123312912,597450,6,616453,29635200,3.0,4.0
123611717,597450,6,509607,27734400,-1.0,3.0
123611718,597450,6,499467,2937600,7.0,4.0
123611719,597450,6,616453,19785600,2.0,4.0
123611720,597450,6,625756,17452800,4.0,4.0
123611721,597450,6,509607,23587200,-1.0,3.0
123611722,597450,6,509607,12960000,-1.0,1.0
123611723,597450,6,616453,29635200,3.0,4.0
