,Source,eType,Target,Time,Weight,SourceLocation
55797,563211,4,564798,-732727926,0.0188679,
70390,563211,4,561114,-277745526,0.25,
70395,563211,4,627390,-496596726,0.2,
120361591,563211,5,630626,31536000,4267.76,
120361592,563211,5,536346,31536000,464.86,
120361593,510031,5,563211,31536000,2700.9,
120361594,552988,5,563211,31536000,33865.0,
120361595,563211,5,567195,31536000,5301.34,
120361596,563211,5,527449,31536000,96.34,
120361597,563211,5,459381,31536000,325.71,
120361598,563211,5,595298,31536000,2348.19,
120361599,563211,5,466907,31536000,801.11,
120361600,563211,5,589943,31536000,1121.43,
120361601,563211,5,577992,31536000,2947.72,
120361602,563211,5,537281,31536000,855.53,
120361603,563211,5,523927,31536000,2739.3,
120361604,563211,5,580426,31536000,908.48,
120361605,563211,5,595581,31536000,820.14,
120361606,563211,5,642329,31536000,1218.25,
120361607,563211,5,503701,31536000,2401.99,
120361608,563211,5,644226,31536000,286.6,
120361609,563211,5,632961,31536000,212.56,
120361610,563211,5,473173,31536000,2758.33,
120361611,563211,5,620120,31536000,6505.41,
120361612,563211,5,575030,31536000,855.88,
122434773,563211,6,561157,5702400,-1.0,2.0
122434774,563211,6,561157,3024000,-1.0,0.0
122434775,563211,6,561157,14256000,-1.0,4.0
122434776,563211,6,616453,3628800,2.0,0.0
122434777,563211,6,616453,3715200,2.0,1.0
122434778,563211,6,499467,23241600,4.0,0.0
122434779,563211,6,561157,31536000,-1.0,0.0
122434780,563211,6,561157,1900800,-1.0,4.0
122434781,563211,6,616453,21859200,2.0,0.0
122733427,563211,6,561157,5702400,-1.0,2.0
122733428,563211,6,561157,3024000,-1.0,0.0
122733429,563211,6,561157,14256000,-1.0,4.0
122733430,563211,6,616453,3628800,2.0,0.0
122733431,563211,6,616453,3715200,2.0,1.0
122733432,563211,6,499467,23241600,4.0,0.0
122733433,563211,6,561157,31536000,-1.0,0.0
122733434,563211,6,561157,1900800,-1.0,4.0
122733435,563211,6,616453,21859200,2.0,0.0
123032407,563211,6,561157,5702400,-1.0,2.0
123032408,563211,6,561157,3024000,-1.0,0.0
123032409,563211,6,561157,14256000,-1.0,4.0
123032410,563211,6,616453,3628800,2.0,0.0
123032411,563211,6,616453,3715200,2.0,1.0
123032412,563211,6,499467,23241600,4.0,0.0
123032413,563211,6,561157,31536000,-1.0,0.0
123032414,563211,6,561157,1900800,-1.0,4.0
123032415,563211,6,616453,21859200,2.0,0.0
123331085,563211,6,561157,5702400,-1.0,2.0
123331086,563211,6,561157,3024000,-1.0,0.0
123331087,563211,6,561157,14256000,-1.0,4.0
123331088,563211,6,616453,3628800,2.0,0.0
123331089,563211,6,616453,3715200,2.0,1.0
123331090,563211,6,499467,23241600,4.0,0.0
123331091,563211,6,561157,31536000,-1.0,0.0
123331092,563211,6,561157,1900800,-1.0,4.0
123331093,563211,6,616453,21859200,2.0,0.0
123629896,563211,6,561157,5702400,-1.0,2.0
123629897,563211,6,561157,3024000,-1.0,0.0
123629898,563211,6,561157,14256000,-1.0,4.0
123629899,563211,6,616453,3628800,2.0,0.0
123629900,563211,6,616453,3715200,2.0,1.0
123629901,563211,6,499467,23241600,4.0,0.0
123629902,563211,6,561157,31536000,-1.0,0.0
123629903,563211,6,561157,1900800,-1.0,4.0
123629904,563211,6,616453,21859200,2.0,0.0
111271,541017,4,601492,-64423926,0.14285699999999998,
120361566,541017,5,503218,31536000,823.05,
120361567,541017,5,630626,31536000,3583.08,
120361568,541017,5,536346,31536000,21.36,
120361569,510031,5,541017,31536000,289.46,
120361570,541017,5,520660,31536000,2432.0,
120361571,552988,5,541017,31536000,28827.5,
120361572,541017,5,567195,31536000,6094.45,
120361573,541017,5,527449,31536000,276.94,
120361574,541017,5,459381,31536000,635.57,
120361575,541017,5,595298,31536000,3947.64,
120361576,541017,5,466907,31536000,820.82,
120361577,541017,5,606730,31536000,729.14,
120361578,541017,5,589943,31536000,3067.24,
120361579,541017,5,577992,31536000,195.49,
120361580,541017,5,523927,31536000,1935.69,
120361581,541017,5,595581,31536000,3866.28,
120361582,541017,5,616315,31536000,3532.11,
120361583,541017,5,642329,31536000,484.08,
120361584,541017,5,571970,31536000,180.92,
120361585,541017,5,644226,31536000,1529.05,
120361586,541017,5,632961,31536000,431.03,
120361587,541017,5,473173,31536000,642.78,
120361588,541017,5,620120,31536000,3517.98,
120361589,541017,5,575030,31536000,8084.37,
120361590,541017,5,621924,31536000,1292.87,
122447274,541017,6,509607,11491200,-1.0,1.0
122447275,541017,6,509607,25401600,-1.0,3.0
122447276,541017,6,561157,777600,3.0,1.0
122447277,541017,6,561157,3628800,3.0,4.0
122447278,541017,6,509607,6652800,-1.0,3.0
122447279,541017,6,509607,26092800,-1.0,3.0
122447280,541017,6,616453,4060800,3.0,4.0
122447281,541017,6,499467,6998400,1.0,4.0
122447282,541017,6,561157,12787200,6.0,4.0
122447283,541017,6,561157,10195200,0.0,0.0
122447284,541017,6,561157,27043200,2.0,4.0
122745928,541017,6,509607,11491200,-1.0,1.0
122745929,541017,6,509607,25401600,-1.0,3.0
122745930,541017,6,561157,777600,3.0,1.0
122745931,541017,6,561157,3628800,3.0,4.0
122745932,541017,6,509607,6652800,-1.0,3.0
122745933,541017,6,509607,26092800,-1.0,3.0
122745934,541017,6,616453,4060800,3.0,4.0
122745935,541017,6,499467,6998400,1.0,4.0
122745936,541017,6,561157,12787200,6.0,4.0
122745937,541017,6,561157,10195200,0.0,0.0
122745938,541017,6,561157,27043200,2.0,4.0
123044908,541017,6,509607,11491200,-1.0,1.0
123044909,541017,6,509607,25401600,-1.0,3.0
123044910,541017,6,561157,777600,3.0,1.0
123044911,541017,6,561157,3628800,3.0,4.0
123044912,541017,6,509607,6652800,-1.0,3.0
123044913,541017,6,509607,26092800,-1.0,3.0
123044914,541017,6,616453,4060800,3.0,4.0
123044915,541017,6,499467,6998400,1.0,4.0
123044916,541017,6,561157,12787200,6.0,4.0
123044917,541017,6,561157,10195200,0.0,0.0
123044918,541017,6,561157,27043200,2.0,4.0
123343586,541017,6,509607,11491200,-1.0,1.0
123343587,541017,6,509607,25401600,-1.0,3.0
123343588,541017,6,561157,777600,3.0,1.0
123343589,541017,6,561157,3628800,3.0,4.0
123343590,541017,6,509607,6652800,-1.0,3.0
123343591,541017,6,509607,26092800,-1.0,3.0
123343592,541017,6,616453,4060800,3.0,4.0
123343593,541017,6,499467,6998400,1.0,4.0
123343594,541017,6,561157,12787200,6.0,4.0
123343595,541017,6,561157,10195200,0.0,0.0
123343596,541017,6,561157,27043200,2.0,4.0
123642397,541017,6,509607,11491200,-1.0,1.0
123642398,541017,6,509607,25401600,-1.0,3.0
123642399,541017,6,561157,777600,3.0,1.0
123642400,541017,6,561157,3628800,3.0,4.0
123642401,541017,6,509607,6652800,-1.0,3.0
123642402,541017,6,509607,26092800,-1.0,3.0
123642403,541017,6,616453,4060800,3.0,4.0
123642404,541017,6,499467,6998400,1.0,4.0
123642405,541017,6,561157,12787200,6.0,4.0
123642406,541017,6,561157,10195200,0.0,0.0
123642407,541017,6,561157,27043200,2.0,4.0
120360920,572413,5,640784,31536000,88.82,
120360921,572413,5,630626,31536000,1983.14,
120360922,572413,5,536346,31536000,428.32,
120360923,572413,5,520660,31536000,390.65,
120360924,552988,5,572413,31536000,12652.9,
120360925,572413,5,567195,31536000,1743.69,
120360926,572413,5,527449,31536000,73.26,
120360927,572413,5,459381,31536000,295.58,
120360928,572413,5,595298,31536000,754.28,
120360929,572413,5,466907,31536000,187.96,
120360930,572413,5,580426,31536000,187.52,
120360931,572413,5,595581,31536000,447.6,
120360932,572413,5,616315,31536000,426.93,
120360933,572413,5,642329,31536000,7.71,
120360934,572413,5,503701,31536000,228.08,
120360935,572413,5,644226,31536000,416.46,
120360936,572413,5,632961,31536000,135.67,
120360937,572413,5,473173,31536000,252.47,
120360938,572413,5,620120,31536000,98.62,
120360939,572413,5,575030,31536000,2155.42,
120360940,572413,5,621924,31536000,92.26,
120360899,505965,5,630626,31536000,3348.11,
120360900,505965,5,536346,31536000,271.34,
120360901,505965,5,520660,31536000,1221.26,
120360902,552988,5,505965,31536000,9945.54,
120360903,505965,5,567195,31536000,3171.42,
120360904,505965,5,527449,31536000,79.82,
120360905,505965,5,459381,31536000,227.65,
120360906,505965,5,595298,31536000,82.96,
120360907,505965,5,466907,31536000,322.05,
120360908,505965,5,577992,31536000,489.12,
120360909,505965,5,537281,31536000,572.58,
120360910,505965,5,523927,31536000,515.71,
120360911,505965,5,580426,31536000,141.3,
120360912,505965,5,595581,31536000,78.42,
120360913,505965,5,503701,31536000,874.89,
120360914,505965,5,571970,31536000,61.62,
120360915,505965,5,644226,31536000,881.15,
120360916,505965,5,473173,31536000,126.48,
120360917,505965,5,620120,31536000,1141.88,
120360918,505965,5,575030,31536000,1428.67,
120360919,505965,5,621924,31536000,647.87,
120360983,510031,5,629627,31536000,336.04,
120360984,552988,5,629627,31536000,6596.71,
120360985,629627,5,567195,31536000,698.93,
120360986,629627,5,527449,31536000,208.98,
120360987,629627,5,459381,31536000,331.29,
120360988,629627,5,595298,31536000,701.57,
120360989,629627,5,589943,31536000,554.9,
120360990,629627,5,537281,31536000,40.21,
120360991,629627,5,523927,31536000,485.15,
120360992,629627,5,580426,31536000,79.87,
120360993,629627,5,595581,31536000,54.06,
120360994,629627,5,642329,31536000,372.04,
120360995,629627,5,503701,31536000,1001.63,
120360996,629627,5,571970,31536000,41.97,
120360997,629627,5,473173,31536000,854.79,
120360998,629627,5,620120,31536000,822.54,
120360999,629627,5,575030,31536000,1576.9,
122699953,629627,6,625756,13674406,1.0,4.0
122699957,629627,6,657173,14624806,2.0,3.0
122699961,629627,6,499467,16871206,1.0,1.0
122699965,629627,6,509607,16871206,4.0,2.0
122998607,629627,6,625756,13674406,1.0,4.0
122998611,629627,6,657173,14624806,2.0,3.0
122998615,629627,6,499467,16871206,1.0,1.0
122998619,629627,6,509607,16871206,4.0,2.0
122998653,629627,6,625756,14845147,4.0,4.0
122998657,629627,6,657173,14931547,2.0,3.0
122998661,629627,6,499467,18646747,2.0,1.0
