row,Source,eType,Target,Time,Weight,SourceLocation,NodeType
0,600971,1,564804,26560681,1.0,0.0,1
1,600971,0,626174,8391058,1.0,,1
2,600971,1,470784,21610929,1.0,0.0,1
3,600971,1,554368,12358995,1.0,0.0,1
4,600971,1,554368,5817846,1.0,0.0,1
5,600971,1,554368,12627610,1.0,0.0,1
6,600971,1,638591,18749952,1.0,0.0,1
7,600971,0,477333,6341410,1.0,,1
8,600971,0,533691,18163469,1.0,,1
9,600971,0,558444,20407205,1.0,,1
10,600971,1,490882,7454939,1.0,0.0,1
11,600971,1,594696,11681154,1.0,0.0,1
12,600971,1,462691,29507696,1.0,0.0,1
13,600971,0,631159,4950767,1.0,,1
14,600971,0,605385,13855995,1.0,,1
15,600971,1,506539,14342764,1.0,0.0,1
16,600971,0,564784,15060171,1.0,,1
17,600971,1,466429,22336326,1.0,0.0,1
18,600971,1,532462,28436049,1.0,0.0,1
19,600971,0,583737,30594852,1.0,,1
20,564804,1,600971,22053433,1.0,1.0,1
21,564804,1,600971,22060372,1.0,1.0,1
22,564804,1,554368,13754425,1.0,1.0,1
23,564804,1,554368,13912452,1.0,1.0,1
24,564804,0,631159,12096922,1.0,,1
25,564804,1,583737,31158776,1.0,1.0,1
26,626174,1,600971,24546297,1.0,5.0,1
27,626174,0,554368,1226894,1.0,,1
28,626174,0,554368,21434447,1.0,,1
29,626174,1,554368,26326050,1.0,5.0,1
30,626174,0,554368,19475292,1.0,,1
31,626174,0,638591,11256514,1.0,,1
32,626174,1,533691,28446845,1.0,5.0,1
33,626174,1,533691,28225872,1.0,5.0,1
34,626174,0,462691,29496054,1.0,,1
35,626174,0,631159,21605492,1.0,,1
36,626174,1,506539,15534024,1.0,5.0,1
37,626174,0,583737,16676667,1.0,,1
38,470784,1,600971,23011210,1.0,0.0,1
39,470784,1,554368,7812765,1.0,0.0,1
40,470784,0,554368,8832968,1.0,,1
41,470784,0,554368,15274489,1.0,,1
42,470784,1,554368,16244361,1.0,0.0,1
43,470784,0,554368,24151714,1.0,,1
44,470784,0,462691,3812111,1.0,,1
45,470784,0,506539,5445843,1.0,,1
46,554368,1,600971,13654133,1.0,4.0,1
47,554368,1,600971,16763298,1.0,4.0,1
48,554368,0,564804,19819806,1.0,,1
49,554368,1,564804,1668259,1.0,4.0,1
50,554368,1,564804,13404243,1.0,4.0,1
51,554368,0,626174,22677363,1.0,,1
52,554368,1,626174,24815977,1.0,4.0,1
53,554368,0,626174,25008646,1.0,,1
54,554368,1,470784,3039621,1.0,4.0,1
55,554368,1,638591,1759813,1.0,4.0,1
56,554368,1,638591,8667403,1.0,4.0,1
57,554368,1,638591,13374050,1.0,4.0,1
58,554368,1,638591,28089127,1.0,4.0,1
59,554368,0,638591,30437309,1.0,,1
60,554368,0,477333,1497198,1.0,,1
61,554368,0,533691,20307809,1.0,,1
62,554368,0,533691,322808,1.0,,1
63,554368,1,533691,18304962,1.0,4.0,1
64,554368,0,533691,6095717,1.0,,1
65,554368,1,533691,14039667,1.0,4.0,1
66,554368,1,533691,18391505,1.0,4.0,1
67,554368,1,558444,13524890,1.0,4.0,1
68,554368,1,558444,3303678,1.0,4.0,1
69,554368,0,558444,23694748,1.0,,1
70,554368,1,594696,5443200,1.0,4.0,1
71,554368,1,594696,6349222,1.0,4.0,1
72,554368,1,462691,13683622,1.0,4.0,1
73,554368,0,462691,3289528,1.0,,1
74,554368,1,462691,5284222,1.0,4.0,1
75,554368,0,462691,24727575,1.0,,1
76,554368,1,462691,11109639,1.0,4.0,1
77,554368,1,462691,354856,1.0,4.0,1
78,554368,1,462691,13942426,1.0,4.0,1
79,554368,0,462691,15688124,1.0,,1
80,554368,1,462691,13750526,1.0,4.0,1
81,554368,0,631159,21271210,1.0,,1
82,554368,0,631159,23348928,1.0,,1
83,554368,0,506539,11674571,1.0,,1
84,554368,1,506539,9351049,1.0,4.0,1
85,554368,0,506539,2789786,1.0,,1
86,554368,0,564784,23002737,1.0,,1
87,554368,0,564784,19618581,1.0,,1
88,554368,1,564784,21612456,1.0,4.0,1
89,554368,0,564784,10133909,1.0,,1
