,Unnamed: 0,Source,eType,Target,Time,Weight,SourceLocation
696,0,476945,6,625756,30412800,0.0,5.0
697,1,546151,6,625756,30412800,1.0,5.0
698,2,462943,6,625756,30412800,3.0,5.0
699,3,637545,6,625756,30412800,0.0,5.0
700,4,598500,6,625756,30412800,3.0,5.0
701,5,489824,6,625756,30412800,5.0,5.0
702,6,493328,6,625756,30412800,2.0,5.0
703,122998952,644830,2,487668,13302589,958.0,
704,122998953,585212,3,487668,13302589,958.0,
705,122998954,644830,2,487668,14314933,213.0,
706,122998955,585212,3,487668,14314933,213.0,
707,122998956,644830,2,487668,15936004,276.0,
708,122998957,585212,3,487668,15936004,276.0,
709,122998958,644830,2,487668,16227037,245.0,
710,122998959,585212,3,487668,16227037,245.0,
711,122998960,644830,2,487668,17764060,213.0,
712,122998961,585212,3,487668,17764060,213.0,
713,122998962,644830,2,487668,18425192,581.0,
714,122998963,585212,3,487668,18425192,581.0,
715,122998964,644830,2,487668,20170502,209.0,
716,122998965,585212,3,487668,20170502,209.0,
717,120361186,488928,5,503218,31536000,618.86,
718,120361187,488928,5,630626,31536000,7091.58,
719,120361188,488928,5,536346,31536000,1106.18,
720,120361189,488928,5,520660,31536000,2655.89,
721,120361190,552988,5,488928,31536000,20518.6,
722,120361191,488928,5,567195,31536000,4060.69,
723,120361192,488928,5,527449,31536000,77.62,
724,120361193,488928,5,459381,31536000,355.15,
725,120361194,488928,5,595298,31536000,1888.31,
726,120361195,488928,5,466907,31536000,320.76,
727,120361196,488928,5,606730,31536000,773.91,
728,120361197,488928,5,577992,31536000,6.5,
729,120361198,488928,5,537281,31536000,25.88,
730,120361199,488928,5,523927,31536000,1681.76,
731,120361200,488928,5,580426,31536000,532.08,
732,120361201,488928,5,616315,31536000,208.72,
733,120361202,488928,5,503701,31536000,1713.46,
734,120361203,488928,5,644226,31536000,1199.93,
735,120361204,488928,5,632961,31536000,456.15,
736,120361205,488928,5,473173,31536000,226.36,
737,120361206,620120,5,488928,31536000,164.14,
738,120361207,488928,5,575030,31536000,1944.15,
739,120361208,488928,5,621924,31536000,748.17,
740,121932454,482646,5,640784,31536000,19.87,
741,121932455,482646,5,630626,31536000,2392.72,
742,121932456,510031,5,482646,31536000,263.02,
743,121932457,552988,5,482646,31536000,8557.02,
744,121932458,482646,5,567195,31536000,900.35,
745,121932459,482646,5,527449,31536000,180.0,
746,121932460,482646,5,459381,31536000,61.39,
747,121932461,482646,5,595298,31536000,1082.45,
748,121932462,482646,5,589943,31536000,932.77,
749,121932463,482646,5,577992,31536000,734.03,
750,121932464,482646,5,537281,31536000,344.31,
751,121932465,482646,5,523927,31536000,987.64,
752,121932466,482646,5,595581,31536000,342.82,
753,121932467,482646,5,642329,31536000,253.62,
754,121932468,482646,5,503701,31536000,650.33,
755,121932469,482646,5,632961,31536000,207.45,
756,121932470,482646,5,473173,31536000,819.62,
757,121932471,620120,5,482646,31536000,201.19,
758,121932472,482646,5,575030,31536000,2294.41,
759,121932473,482646,5,621924,31536000,94.02,
760,122390866,502823,5,640784,31536000,179.64,
761,122390867,502823,5,630626,31536000,3824.68,
762,122390868,552988,5,502823,31536000,16171.3,
763,122390869,502823,5,527449,31536000,111.74,
764,122390870,502823,5,459381,31536000,34.78,
765,122390871,502823,5,595298,31536000,835.54,
766,122390872,502823,5,466907,31536000,448.7,
767,122390873,502823,5,577992,31536000,665.27,
768,122390874,502823,5,537281,31536000,246.15,
