,Source,eType,Target,Time,Weight,SourceLocation
0,574136,1,546631,18318465,1.0,4.0
1,574136,0,578302,18215874,1.0,
3,574136,0,513854,28004575,1.0,
5,574136,1,602415,26548616,1.0,4.0
6,574136,1,513818,14370168,1.0,4.0
7,574136,1,632071,25057721,1.0,4.0
12,574136,0,551521,3892350,1.0,
15,574136,1,499938,2508735,1.0,4.0
17,574136,0,648724,7786555,1.0,
18,574136,1,630758,20838060,1.0,4.0
19,574136,1,640651,25868913,1.0,4.0
20,574136,1,640651,25861997,1.0,4.0
21,574136,1,590909,5237602,1.0,4.0
25,574136,1,623295,1657803,1.0,4.0
28,574136,1,521580,10213716,1.0,4.0
29,574136,1,521580,19640545,1.0,4.0
32,574136,1,624608,11244527,1.0,4.0
33,574136,1,474506,14028523,1.0,4.0
34,574136,1,474506,24816194,1.0,4.0
35,574136,1,518238,13582135,1.0,4.0
36,574136,0,483880,22999752,1.0,
42,574136,0,568085,23717306,1.0,
47,574136,1,497954,8775984,1.0,4.0
48,574136,0,483019,29474694,1.0,
50,574136,1,620791,1991785,1.0,4.0
51,574136,1,620791,24131341,1.0,4.0
52,574136,1,552765,6742286,1.0,4.0
53,574136,1,552765,6684009,1.0,4.0
54,574136,1,623468,22839875,1.0,4.0
55,546631,0,574136,13076651,1.0,
59,546631,1,623295,31341601,1.0,0.0
60,546631,0,497954,28958828,1.0,
61,546631,1,620791,1228132,1.0,0.0
62,546631,1,623468,8618300,1.0,0.0
64,578302,0,574136,25868913,1.0,
65,578302,1,513818,27849365,1.0,2.0
66,578302,1,521580,26131867,1.0,2.0
67,578302,1,624608,21983048,1.0,2.0
68,578302,1,497954,18669044,1.0,2.0
76,513854,0,574136,874238,1.0,
77,513854,1,632071,15381779,1.0,3.0
78,513854,1,648724,25089612,1.0,3.0
79,513854,1,640651,13140031,1.0,3.0
80,513854,1,640651,19802030,1.0,3.0
81,513854,1,590909,9183379,1.0,3.0
82,513854,0,521580,16777105,1.0,
83,513854,0,624608,27994256,1.0,
84,513854,1,474506,11234926,1.0,3.0
85,513854,0,568085,15575779,1.0,
86,513854,1,623468,18005744,1.0,3.0
93,602415,1,574136,16621925,1.0,4.0
97,602415,1,590909,25972940,1.0,4.0
98,602415,1,590909,25905295,1.0,4.0
100,602415,1,474506,21902153,1.0,4.0
101,602415,1,474506,21961901,1.0,4.0
102,602415,0,518238,2247851,1.0,
103,602415,1,483880,2074933,1.0,4.0
105,513818,1,574136,11866446,1.0,1.0
106,513818,0,551521,26230113,1.0,
107,513818,0,499938,13738687,1.0,
