,Source,eType,Target,Time,Weight,SourceLocation
151203,600971,4,463021,-508376182,0.25,
251560,600971,4,607498,-541121782,0.333333,
251616,600971,4,530665,-656897782,0.25,
251656,470085,4,579269,-660038400,0.166667,
251657,484189,4,579269,-660038400,0.166667,
251658,600971,4,579269,-685755382,0.166667,
251659,540660,4,579269,-660038400,0.166667,
251660,611692,4,579269,-660038400,0.166667,
251661,609913,4,579269,-660038400,0.166667,
470643,509373,1,600971,15163602,1.0,2.0
470644,600971,1,544636,15163602,1.0,0.0
539052,478853,0,600971,16520421,1.0,
539053,600971,1,498608,16520421,1.0,0.0
765953,531430,0,600971,27765727,1.0,
765954,600971,1,495711,27765727,1.0,0.0
811653,588245,1,600971,432045,1.0,0.0
849907,464825,1,600971,29728822,1.0,1.0
849908,600971,1,507346,29728822,1.0,0.0
885777,561931,0,600971,28399738,1.0,
885778,600971,1,458365,28399738,1.0,0.0
1049489,581835,0,600971,31439805,1.0,
1049490,600971,0,596866,31439805,1.0,
1388216,484308,0,600971,15036046,1.0,
1563257,560418,0,600971,3462138,1.0,
1563258,600971,1,532753,3462138,1.0,0.0
1691719,570443,1,600971,15737445,1.0,1.0
2407876,552243,1,600971,9805008,1.0,1.0
2407877,600971,0,505857,9805008,1.0,
2593362,595737,0,600971,29053916,1.0,
2593363,600971,1,617516,29053916,1.0,0.0
2621308,626538,0,600971,6568375,1.0,
2621309,600971,0,655639,6568375,1.0,
2632435,635565,0,600971,18240766,1.0,
2632436,600971,1,589033,18240766,1.0,0.0
2870466,620024,1,600971,12744525,1.0,3.0
2870467,600971,1,610477,12744525,1.0,0.0
3123063,504753,1,600971,4065516,1.0,0.0
3393411,496375,0,600971,2857132,1.0,
3393412,600971,0,657533,2857132,1.0,
4443743,610768,1,600971,4329388,1.0,0.0
4443744,600971,1,479674,4329388,1.0,0.0
4611775,567716,1,600971,27746181,1.0,2.0
4848118,639419,1,600971,24668936,1.0,1.0
4876763,640109,1,600971,19722351,1.0,1.0
5000380,505409,1,600971,29483534,1.0,2.0
5000381,600971,0,486926,29483534,1.0,
5207585,524473,1,600971,22167365,1.0,2.0
5571769,640697,1,600971,26450203,1.0,3.0
5571770,600971,1,493145,26450203,1.0,0.0
5606092,513148,0,600971,22513009,1.0,
5606093,600971,0,539903,22513009,1.0,
5838414,614964,1,600971,24547521,1.0,3.0
5893947,475873,1,600971,23887836,1.0,0.0
5939206,465820,0,600971,13910428,1.0,
5939207,600971,0,481910,13910428,1.0,
6113453,533887,0,600971,2077516,1.0,
6113454,600971,0,597473,2077516,1.0,
6166500,601028,0,600971,16089626,1.0,
6166501,600971,1,514981,16089626,1.0,0.0
6420260,476094,0,600971,24806215,1.0,
6420261,600971,1,460865,24806215,1.0,0.0
6521787,512867,1,600971,5371244,1.0,2.0
6521788,600971,1,593940,5371244,1.0,0.0
6577146,579468,1,600971,21611459,1.0,3.0
6577147,600971,1,645047,21611459,1.0,0.0
6611070,535286,0,600971,19034459,1.0,
6611071,600971,1,501694,19034459,1.0,0.0
6714390,600971,1,481994,3752211,1.0,0.0
6757283,571682,0,600971,21443194,1.0,
6848548,606011,0,600971,31137579,1.0,
6848549,600971,1,526618,31137579,1.0,0.0
6864659,573678,1,600971,22206615,1.0,4.0
6864660,600971,1,512173,22206615,1.0,0.0
7037490,468160,0,600971,13070849,1.0,
7037491,600971,0,473838,13070849,1.0,
7248786,600971,1,647959,1696325,1.0,0.0
7501047,561819,0,600971,25765565,1.0,
7501048,600971,0,570256,25765565,1.0,
7577158,619277,1,600971,29207569,1.0,1.0
7681241,462418,0,600971,15332810,1.0,
7681242,600971,1,629905,15332810,1.0,0.0
7881904,600971,1,523586,21920454,1.0,0.0
7946780,460690,1,600971,14603210,1.0,5.0
8374577,507507,0,600971,22673568,1.0,
8374578,600971,0,492205,22673568,1.0,
8473788,576640,1,600971,27998910,1.0,2.0
8473789,600971,1,568224,27998910,1.0,0.0
9787269,529612,1,600971,30376619,1.0,1.0
9849070,504817,1,600971,13051810,1.0,0.0
10362408,586532,0,600971,11513098,1.0,
10499395,501121,0,600971,17484781,1.0,
10499396,600971,0,536589,17484781,1.0,
11084833,564804,1,600971,22053433,1.0,1.0
11084834,600971,0,468865,22053433,1.0,
11162124,600971,1,616864,18942523,1.0,0.0
11234455,572297,1,600971,23469535,1.0,0.0
11257827,514428,0,600971,24830409,1.0,
11588827,468800,0,600971,15034963,1.0,
11588828,600971,0,571860,15034963,1.0,
11723473,603113,1,600971,12273015,1.0,4.0
11988903,635914,0,600971,11864547,1.0,
11988904,600971,1,641009,11864547,1.0,0.0
12027428,600971,1,607751,26536069,1.0,0.0
12307695,509879,0,600971,17844637,1.0,
12307696,600971,1,627119,17844637,1.0,0.0
12373580,505835,0,600971,22646553,1.0,
12373581,600971,1,569460,22646553,1.0,0.0
12426728,636737,0,600971,990475,1.0,
12449007,468496,1,600971,22221332,1.0,1.0
13002661,465118,0,600971,9691655,1.0,
13002662,600971,0,579017,9691655,1.0,
13035261,647626,0,600971,18950039,1.0,
13035262,600971,1,590255,18950039,1.0,0.0
13131407,523187,0,600971,28791364,1.0,
13711993,465035,0,600971,20770212,1.0,
13714153,464514,1,600971,23378793,1.0,0.0
13714154,600971,0,614757,23378793,1.0,
13797865,642021,0,600971,26203812,1.0,
13797866,600971,0,460615,26203812,1.0,
13990536,547642,0,600971,20329488,1.0,
13990537,600971,0,479949,20329488,1.0,
14093225,504104,1,600971,520581,1.0,4.0
14659705,489025,0,600971,28528017,1.0,
14659706,600971,1,641128,28528017,1.0,0.0
15247709,600971,0,485523,8056284,1.0,
15298017,655531,0,600971,2596561,1.0,
15403699,547849,1,600971,11076496,1.0,1.0
15480307,578158,0,600971,8391058,1.0,
15480308,600971,0,626174,8391058,1.0,
15663014,465700,0,600971,24461436,1.0,
15663015,600971,0,563293,24461436,1.0,
15776890,648166,0,600971,13324379,1.0,
15824019,580557,0,600971,27063412,1.0,
15824020,600971,0,510324,27063412,1.0,
16875756,540907,1,600971,17255217,1.0,5.0
16964097,611892,0,600971,1350034,1.0,
17040023,575096,1,600971,31371878,1.0,0.0
17040024,600971,1,478225,31371878,1.0,0.0
17194389,588113,1,600971,8475912,1.0,4.0
17194390,600971,0,539846,8475912,1.0,
17332031,587046,0,600971,3994592,1.0,
17332032,600971,1,588773,3994592,1.0,0.0
17351255,600971,0,625455,10989656,1.0,
17433754,617474,1,600971,5812569,1.0,0.0
17722131,484398,1,600971,25677054,1.0,0.0
17722132,600971,1,504949,25677054,1.0,0.0
17722371,508194,1,600971,28170200,1.0,4.0
17722372,600971,1,504949,28170200,1.0,0.0
17757097,553864,1,600971,27907454,1.0,3.0
17757098,600971,0,509369,27907454,1.0,
17791385,519278,1,600971,21438010,1.0,4.0
17791386,600971,1,577681,21438010,1.0,0.0
17798250,619475,0,600971,26016050,1.0,
17798251,600971,0,551287,26016050,1.0,
17839506,526031,0,600971,25412446,1.0,
17879442,480548,0,600971,28361653,1.0,
17879443,600971,1,571471,28361653,1.0,0.0
17955691,632071,1,600971,30623382,1.0,0.0
18271793,614644,0,600971,7279028,1.0,
18271794,600971,1,630739,7279028,1.0,0.0
18392545,629502,1,600971,6832227,1.0,0.0
18397932,638682,1,600971,6080432,1.0,4.0
18500295,622921,0,600971,26547510,1.0,
18500296,600971,1,511666,26547510,1.0,0.0
18649129,476810,0,600971,26142964,1.0,
18649130,600971,1,535085,26142964,1.0,0.0
18677756,620492,0,600971,4765295,1.0,
18677757,600971,1,483723,4765295,1.0,0.0
18695036,537339,0,600971,1342259,1.0,
18734225,600971,0,635997,19452618,1.0,
18992715,651586,1,600971,19276362,1.0,0.0
18992716,600971,1,633489,19276362,1.0,0.0
19454758,613301,0,600971,2959463,1.0,
19454759,600971,1,591921,2959463,1.0,0.0
19582072,612231,0,600971,10386775,1.0,
19582073,600971,0,478964,10386775,1.0,
19615125,601592,0,600971,21712351,1.0,
19665748,512371,1,600971,2899243,1.0,1.0
19832626,555649,1,600971,22346919,1.0,0.0
19988950,481437,1,600971,21516877,1.0,2.0
19988951,512005,1,600971,21516877,1.0,4.0
20166337,602684,1,600971,24907712,1.0,4.0
20166338,600971,0,595882,24907712,1.0,
20286591,570428,1,600971,18059554,1.0,1.0
20286592,600971,1,556019,18059554,1.0,0.0
20344542,488432,0,600971,25692503,1.0,
20854654,559941,1,600971,15407438,1.0,3.0
20870751,600971,1,627927,17990979,1.0,0.0
20937941,463747,0,600971,14438423,1.0,
20937942,600971,1,494654,14438423,1.0,0.0
21148141,611860,0,600971,19443299,1.0,
21148142,600971,0,466205,19443299,1.0,
21187704,493524,1,600971,9160933,1.0,0.0
21189755,516877,1,600971,6276283,1.0,5.0
21308326,601493,0,600971,31378514,1.0,
21605456,482137,1,600971,22852548,1.0,5.0
21605457,600971,1,495302,22852548,1.0,0.0
21689591,600971,1,550821,3728698,1.0,0.0
21920830,610474,1,600971,12533802,1.0,4.0
21920831,600971,0,530941,12533802,1.0,
22622764,603227,1,600971,20229127,1.0,3.0
22622765,600971,1,636457,20229127,1.0,0.0
22712275,622118,1,600971,24293445,1.0,4.0
22843500,484279,1,600971,17644554,1.0,0.0
22843501,600971,0,642035,17644554,1.0,
22906393,587159,1,600971,104070,1.0,2.0
23125671,464931,1,600971,28772693,1.0,0.0
23125672,488860,1,600971,28772693,1.0,0.0
23274884,600971,1,476885,20141467,1.0,0.0
23815851,656826,0,600971,19880404,1.0,
23815852,600971,0,627124,19880404,1.0,
24035299,602922,1,600971,9595800,1.0,2.0
24133935,514271,1,600971,31379058,1.0,0.0
24133936,600971,1,478801,31379058,1.0,0.0
24138613,621729,0,600971,24841218,1.0,
24138614,600971,1,562407,24841218,1.0,0.0
24167976,515803,1,600971,23519541,1.0,3.0
24167977,600971,0,593287,23519541,1.0,
24453563,589543,0,600971,11750776,1.0,
24453564,600971,1,540324,11750776,1.0,0.0
